"","segment","gage","gageDA","segDA","error"
"115","RL5_6070_0000",1668000,1595,25.1086998,98.425786846395
"116","RL5_6320_0000",1669000,27.9,0.663946986,97.6202616989247
"118","RU2_6200_6170",1666500,179,14.82040024,91.7204467932961
"119","RU2_6220_6170",1665500,115,131.2870026,-14.1626109565217
"120","RU3_5610_5640",1663500,285,68.77539825,75.8682813157895
"121","RU4_5640_6030",1664000,619,257.0010071,58.4812589499192
"122","RU4_6040_6030",1667500,468,226.822998,51.5335474358974
"124","WM3_4060_0001",1589000,285,83.17700195,70.8150870350877
"125","WU1_3331_3330",1581700,34.8,10.43150043,70.0244240517241
"126","WU1_3490_3480",1583500,59.8,25.70779991,57.0103680434783
"127","WU2_3320_3480",1582500,160,27.92090034,82.5494372875
"130","XU2_4070_4330",1591000,34.8,44.38690186,-27.5485685632184
"131","XU2_4270_4650",1594000,98.4,63.93709946,35.0232729065041
"132","XU2_4330_4480",1591610,78.6,53.55479813,31.8641245165394
"133","XU2_4330_4480",1592500,132,53.55479813,59.4281832348485
"134","XU3_4650_0001",1594440,348,9.438010216,97.2879280988506
"135","YM3_6430_6620",1674000,256,202.7030029,20.8191394921875
"136","YM4_6620_0001",1674500,603,108.0149994,82.0870647761194
"137","YP0_6840_0001",1673550,25.5,4.927700043,80.6756861058823
"139","YP3_6330_6700",1670400,342,121.6100006,64.4415202923977
"140","YP3_6690_6720",1672500,395,71.55889893,81.8838230556962
"141","YP3_6700_6670",1671020,462,3.939049959,99.1473917837662
"142","YP4_6750_0001",1673000,1078,70.19999695,93.4879409137291
