"","flow","rivseg","basin","river","DAsqmi","bascd","Upstream","Downstream","downseg","upseg"
"170",1,"PL1_5910_0001","Potomac River Basin","St Marys River",24.53510094,"PL","5910","0001","NA","NA"
"171",0,"PL0_5920_0000","Potomac River Basin","Drains to Tidal Water - No River Simulation",54.10960007,"PL","5920","0000","NA","NA"
"172",0,"RL0_6450_0000","Rappahannock River Basin","Drains to Tidal Water - No River Simulation",111.0680008,"RL","6450","0000","NA","NA"
"173",0,"RL0_6500_0000","Rappahannock River Basin","Drains to Tidal Water - No River Simulation",121.5469971,"RL","6500","0000","NA","NA"
"174",0,"RL0_6501_0000","Rappahannock River Basin","Drains to Tidal Water - No River Simulation",89.69029999,"RL","6501","0000","NA","NA"
"175",0,"RL0_6530_0000","Rappahannock River Basin","Drains to Tidal Water - No River Simulation",78.04389954,"RL","6530","0000","NA","NA"
"176",0,"RL0_6540_0001","Rappahannock River Basin","Piscataway Creek",27.59530067,"RL","6540","0001","NA","NA"
"177",0,"WL0_4390_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",15.67029953,"WL","4390","0000","NA","NA"
"178",0,"WL0_4391_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",6.536960125,"WL","4391","0000","NA","NA"
"179",0,"WL0_4392_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",12.37699986,"WL","4392","0000","NA","NA"
"180",0,"XL0_4956_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",7.29433012,"XL","4956","0000","NA","NA"
"181",0,"XL0_5320_0001","Patuxent River Basin","Hunting Creek",9.278499603,"XL","5320","0001","NA","NA"
"182",0,"XL0_5340_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",64.44989777,"XL","5340","0000","NA","NA"
"183",0,"XL0_5341_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",4.98691988,"XL","5341","0000","NA","NA"
"184",0,"XL0_5346_0000","Patuxent River Basin","Drains to Tidal Water - No River Simulation",4.173860073,"XL","5346","0000","NA","NA"
"185",0,"JB0_7390_0000","James River Basin","Drains to Tidal Water - No River Simulation",97.8809967,"JB","7390","0000","NA","NA"
"186",0,"JB0_7580_0000","James River Basin","Drains to Tidal Water - No River Simulation",56.51279831,"JB","7580","0000","NA","NA"
"187",0,"JB0_7660_0000","James River Basin","Drains to Tidal Water - No River Simulation",56.4673996,"JB","7660","0000","NA","NA"
"188",0,"JB0_7760_0000","James River Basin","Drains to Tidal Water - No River Simulation",71.49669647,"JB","7760","0000","NA","NA"
"189",2,"JB2_7800_0001","James River Basin","Western Branch Dam",64.77929688,"JB","7800","0001","NA","NA"
