"","Overall.Mean.Flow","Jan..Low.Flow","Feb..Low.Flow","Mar..Low.Flow","Apr..Low.Flow","May.Low.Flow","Jun..Low.Flow","Jul..Low.Flow","Aug..Low.Flow","Sep..Low.Flow","Oct..Low.Flow","Nov..Low.Flow","Dec..Low.Flow","Jan..Mean.Flow","Feb..Mean.Flow","Mar..Mean.Flow","Apr..Mean.Flow","May.Mean.Flow","Jun..Mean.Flow","Jul..Mean.Flow","Aug..Mean.Flow","Sep..Mean.Flow","Oct..Mean.Flow","Nov..Mean.Flow","Dec..Mean.Flow","Min..1.Day.Min","Med..1.Day.Min.","Min..3.Day.Min","Med..3.Day.Min.","Min..7.Day.Min","Med..7.Day.Min.","Min..30.Day.Min","Med..30.Day.Min.","Min..90.Day.Min","Med..90.Day.Min.","X7Q10","Year.of.90.Day.Low.Flow","X1..Non.Exceedance","X5..Non.Exceedance","X50..Non.Exceedance","X95..Non.Exceedance","X99..Non.Exceedance","Sept..10..Non.Exceedance","Mean.Baseflow","Jan..High.Flow","Feb..High.Flow","Mar..High.Flow","Apr..High.Flow","May.High.Flow","Jun..High.Flow","Jul..High.Flow","Aug..High.Flow","Sep..High.Flow","Oct..High.Flow","Nov..High.Flow","Dec..High.Flow","Max..1.Day.Max","Med..1.Day.Max.","Max..3.Day.Max","Med..3.Day.Max.","Max..7.Day.Max","Med..7.Day.Max.","Max..30.Day.Max","Med..30.Day.Max.","Max..90.Day.Max","Med..90.Day.Max.","Drought.Year.Mean"
"JL6_7160_7440",3640,698,920,1230,1370,1850,2690,1960,1750,1220,920,846,719,4770,5220,6610,5890,4530,3140,1650,1390,2230,1710,3220,3440,360,650,380,732,409,744,468,849,665,1190,563,2002,595,738,1920,12100,25700,722,1900,1440,6010,11600,14700,9030,17700,16300,9290,3330,2860,1800,1700,180000,40200,106000,32100,57300,21400,21800,11300,12800,6970,3640
"JL6_7430_7320",4210,830,1080,1600,1590,2450,3160,2490,2330,1390,1130,1000,786,5330,5960,7460,6650,5230,3700,2100,1770,2790,2090,3530,4030,409,654,443,761,460,789,556,1020,713,1430,588,2002,623,848,2500,13000,26900,783,2310,2110,6570,10900,14600,10800,17300,17600,9730,4110,3740,2730,2580,142000,45000,96400,34100,54100,22900,24100,12400,13900,7490,4210
"JL7_7100_7030",7240,1250,1770,2960,3150,4620,5560,5020,4010,2320,1630,1460,1120,9450,10300,12600,11000,8740,6100,3680,2990,4960,3680,6350,7270,447,950,487,1010,497,1130,692,1390,872,2290,741,2002,786,1170,4410,22500,46500,1080,4000,4640,19900,18300,22800,17600,30300,27600,14100,8150,6360,5120,4510,199000,71600,149000,58300,89400,40100,37100,20200,26700,13500,7240
"JL7_7070_0001",7400,1260,1810,3060,3420,4740,5650,5310,4040,2170,1610,1410,1070,9800,10700,12900,11400,8770,5980,3600,2880,4810,3840,6620,7680,328,913,346,997,392,1130,652,1430,799,2200,569,2002,659,1070,4520,22500,48800,983,4120,4270,19400,19300,22900,20000,30000,30400,13700,7870,6240,4570,4700,206000,70100,160000,58100,100000,41700,38800,21000,28300,14300,7400
"JU1_6290_6590",92.8,6,12,27,30,34,59,46,32,12,6.8,6.5,4,135,131,189,139,135,64.9,32.4,26.3,35.1,27.5,97.8,103,0.87,3.1,0.99,3.33,1.04,3.6,1.81,6.26,4.6,16.9,1.95,1999,2.6,4.2,44.6,318,779,3.19,35.3,44,371,570,465,295,604,354,472,159,122,49,53,6280,1500,3760,853,1750,553,525,300,320,183,92.8
"JU1_6590_6600",117,14,14,18,21.5,34,54.2,37,25.3,14,14,14,14,162,165,252,186,179,87.9,40.1,33.4,46.2,36.1,96.3,124,1.7,13,1.8,13,1.91,13.3,2.49,14,5.64,21.7,5.49,1999,7.51,12,43.1,437,1100,13,38.3,18,352,784,705,475,941,467,705,207,124,29,20,4890,2240,2590,1310,1410,823,680,396,404,236,117
"JU2_6600_6810",182,20.6,25,48,47,60.8,106,76,52,29,22,20.6,18,262,271,382,288,261,130,59.9,49,66.2,56.4,162,201,8.4,17,9,17.3,9.07,18.1,9.73,19.5,14.1,33.4,13.4,1999,14,18,79,652,1470,17,68.3,37,448,960,959,700,1240,770,1050,264,216,60,48,9940,3270,4600,2000,2270,1150,908,643,582,351,182
"JU3_6640_6790",410,33,47,107,119,154,233,152,109,52,35,30,25,614,585,803,649,488,295,128,113,242,155,415,447,9.56,23,9.59,23.3,10.3,24.4,12.8,31.3,23.8,66.4,14.8,1999,17.3,24,166,1500,3390,21,155,142,1110,2090,2260,1190,2850,1480,1490,299,307,207,125,41500,6480,19600,4420,9250,2600,2800,1570,1620,839,410
"JU3_6900_6950",444,178,156,162,164,169,217,217,243,260,281,274,245,465,556,838,692,620,420,294,284,288,213,351,322,112,153,112,154,114,155,115,157,115,174,131,2000,115,151,268,1160,3350,223,254,220,195,175,1070,1060,2510,1920,1920,401,299,292,267,8670,4620,7450,4000,4540,2660,2180,1340,1330,817,444
"JU3_7490_7400",401,49,68,120,140,186,278,229,153,75,50,45,44,574,642,748,657,503,346,144,121,215,160,345,378,22.7,40,22.8,40.3,23.5,41.1,27.9,47.3,44.2,85.7,31.6,2002,34.3,43,188,1360,3370,38,177,173,781,1520,1750,1670,2850,1440,1210,329,246,140,143,21000,6110,15200,3690,7300,2610,2480,1270,1520,729,401
"JU1_6880_7260",718,116,142,235,273,329,453,395,281,168,136,110,98,1010,1010,1310,1120,837,594,297,249,460,333,670,746,37.9,82,38.4,88.3,39.6,91.7,43.1,118,72.6,175,61.3,2002,60.9,91,360,2420,5340,84,349,350,1500,2680,3080,1760,4000,2690,2200,947,633,300,312,41200,9830,21900,6610,10800,4180,3720,2560,2820,1470,718
"JU3_6950_7330",715,226,210,227,250,314,552,398,336,327,324,313,286,831,1020,1400,1120,971,617,391,359,422,311,576,588,156,206,159,208,164,210,176,225,198,303,176,1995,186,207,367,2540,5050,268,387,319,619,1440,2980,2480,3900,2850,2840,687,507,414,377,15100,5650,9770,4870,6830,3930,3600,2050,2240,1290,715
"JU3_6650_7300",1690,362,404,514,600,769,1240,965,766,580,531,493,431,2130,2420,3280,2690,2250,1410,774,668,985,717,1490,1570,250,358,252,362,260,369,297,407,380,587,305,2002,332,375,872,5980,12100,394,844,775,3170,5570,6710,4910,8970,7480,5900,1780,1220,1070,833,67500,19200,41200,13800,22400,10600,9590,4840,5480,3250,1690
"JU5_7500_7420",2590,496,541,819,882,1180,1850,1360,1210,803,710,663,567,3460,3850,4850,4220,3330,2200,1170,993,1500,1110,2160,2370,321,496,326,504,333,512,373,578,505,881,415,1999,439,509,1320,8830,18700,560,1300,983,3860,9050,10500,7280,12400,12100,7660,2500,2280,1370,1370,102000,32300,60000,22700,33000,15800,16400,7310,9140,4630,2590
"PM3_4670_4660",348,29,54,116,113,197,208,241,135,61,31,19,5.7,465,484,689,544,438,268,146,108,207,153,271,409,0.42,3.8,0.43,4.37,0.449,5.54,1.38,14.7,7.61,47.2,0.885,1985,1.3,5.55,171,1210,2920,2,157,414,1080,1330,1180,833,1960,1340,1080,604,357,122,152,20800,4550,9270,3000,5320,1990,2040,1140,1520,702,348
"PS2_6490_6420",270,72,90,113,135,168,182,183,131,99,83,73,68,347,361,418,397,285,204,148,122,255,170,303,242,35.1,62,35.3,63.3,36.1,64.7,37.8,69.9,41.5,94.8,46.6,2002,41.2,60,157,790,1980,60.9,153,156,631,505,535,388,934,860,448,273,214,132,122,16400,2410,12100,2280,6460,1400,2150,758,1330,443,270
"PS2_6660_6490",218,61,74,100,105,136,136,136,116,79,69,59,56,309,222,345,339,238,182,130,115,161,139,267,187,47,54,48.7,54.7,49.9,55.2,52.3,60.4,61.2,77.7,50.4,1986,51.2,57,129,608,1650,55,116,119,531,453,686,348,602,508,530,214,145,129,100,12000,2080,8670,1730,4960,1290,1550,594,655,361,218
"PS3_5100_5080",662,114,163,219,265,295,389,384,291,184,134,132,110,841,845,1240,1030,818,524,301,320,528,340,549,626,35,100,40.7,104,44.9,108,55.1,122,72.9,171,59.7,1999,61.7,93,341,2190,4880,89.8,334,291,1810,1470,1630,1410,3730,2610,1900,1090,578,310,354,60700,8310,25500,4860,12700,3320,4010,1790,2700,970,662
"PS3_6161_6280",416,74,101,148,169,183,252,230,180,122,87,84,75,519,486,720,601,526,371,190,214,393,212,380,393,30,63,30.7,64.3,32.3,66.9,37.7,78.8,50.2,110,39.9,1999,41,54,224,1350,2920,54,206,206,1240,1050,1040,737,2060,1440,1400,462,366,280,202,32000,4070,21500,3310,11100,2190,3230,1110,1670,652,416
"PS4_6360_5840",1120,269,327,448,520,570,747,682,541,414,312,291,263,1420,1480,1880,1610,1280,926,575,551,1020,628,1060,1020,84.1,234,85.6,236,89.6,242,105,277,136,395,156,2002,144,204,642,3430,7520,207,611,691,2870,2680,3090,2130,5470,3180,2730,1200,1280,654,531,63500,9850,41700,7480,22500,5520,7100,2980,5030,1930,1120
"PS5_4380_4370",2990,661,751,1260,1480,1500,1910,2000,1530,1130,801,674,566,3810,3920,5310,4630,3530,2410,1440,1330,2430,1730,2570,2880,248,502,251,512,275,548,365,676,439,953,363,2002,394,486,1770,9170,19300,476,1700,1410,6510,7200,6510,5690,14500,10500,5880,3780,2380,1450,1820,133000,25900,87900,18100,46200,14300,18700,8210,13200,4740,2990
