"hydroid","Well","Date","Value","Parameter","varkey"
"59963","NORTH FORK RIVANNA RIVER","2017/03/01","8.381","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/02/01","9.876","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/01/01","10.917","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2017/01/01","0","Where the metered value was observed, customer (V) or source (S).","water_meterloc"
"59963","NORTH FORK RIVANNA RIVER","2017/01/01","133.515","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2017/01/01","0","Method used to determine amount withdrawn or transferred.  Options are estimated (E) and measured (M).","water_meter_method"
"59963","NORTH FORK RIVANNA RIVER","2016/12/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/12/01","10.669","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/11/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/11/01","10.879","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/10/01","12.883","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/10/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/09/01","13.577","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/09/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/08/01","13.635","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/08/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/07/01","0.666","",""
"59963","NORTH FORK RIVANNA RIVER","2016/07/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/07/01","14.398","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/07/01","0.666","Maximum daily water use by a system or MP based on annual report","max_daily_wd_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/06/01","12.731","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/06/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/05/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/05/01","10.938","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/04/01","10.58","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/04/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/03/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/03/01","10.931","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/02/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/02/01","9.711","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/01/01","0","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2016/01/01","141.004","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2016/01/01","10.072","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2016/01/01","0","Where the metered value was observed, customer (V) or source (S).","water_meterloc"
"59963","NORTH FORK RIVANNA RIVER","2016/01/01","0","Method used to determine amount withdrawn or transferred.  Options are estimated (E) and measured (M).","water_meter_method"
"59963","NORTH FORK RIVANNA RIVER","2015/12/01","0.211612903225806","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/12/01","6.56","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/11/01","0.319","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/11/01","9.57","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/10/01","10.62","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/10/01","0.34258064516129","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/09/01","11.66","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/09/01","0.388666666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/08/01","12.25","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/08/01","0.395161290322581","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/07/01","10.03","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/07/01","0.323548387096774","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/06/01","0.384333333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/06/01","11.53","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/05/01","0.361935483870968","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/05/01","11.22","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/04/01","10.168","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/04/01","0.338933333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/03/01","0.322903225806452","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/03/01","10.01","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/02/01","0.335392857142857","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/02/01","9.391","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2015/01/01","122.757","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2015/01/01","0.314451612903226","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2015/01/01","9.748","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/12/01","9.767","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/12/01","0.315064516129032","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/11/01","9.677","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/11/01","0.322566666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/10/01","0.356612903225806","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/10/01","11.055","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/09/01","11.413","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/09/01","0.380433333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/08/01","0.377967741935484","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/08/01","11.717","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/07/01","12.42","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/07/01","0.400645161290323","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/06/01","0.381","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/06/01","11.43","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/05/01","0.360451612903226","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/05/01","11.174","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/04/01","9.94","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/04/01","0.331333333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/03/01","9.369","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/03/01","0.302225806451613","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/02/01","8.8","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/02/01","0.314285714285714","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/01/01","10.441","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2014/01/01","0.336806451612903","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2014/01/01","127.203","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2013/12/01","9.69","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/12/01","0.31258064516129","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/11/01","0.306433333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/11/01","9.193","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/10/01","10.743","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/10/01","0.346548387096774","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/09/01","0.461966666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/09/01","13.859","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/08/01","12.07","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/08/01","0.389354838709677","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/07/01","13.104","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/07/01","0.422709677419355","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/06/01","0.376133333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/06/01","11.284","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/05/01","10.708","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/05/01","0.34541935483871","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/04/01","6.413","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/04/01","0.213766666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/03/01","10.37","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/03/01","0.334516129032258","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/02/01","0.345392857142857","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/02/01","9.671","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/01/01","0.343645161290323","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2013/01/01","10.653","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2013/01/01","127.758","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2012/12/01","9.51","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/12/01","0.306774193548387","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/11/01","9.644","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/11/01","0.321466666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/10/01","9.851","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/10/01","0.317774193548387","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/09/01","0.364833333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/09/01","10.945","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/08/01","0.368161290322581","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/08/01","11.413","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/07/01","12.012","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/07/01","0.387483870967742","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/06/01","10.701","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/06/01","0.3567","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/05/01","10.745","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/05/01","0.346612903225806","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/04/01","9.594","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/04/01","0.3198","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/03/01","0.31158064516129","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/03/01","9.659","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/02/01","0.332172413793103","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/02/01","9.633","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/01/01","10.625","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2012/01/01","0.342741935483871","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2012/01/01","124.332","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2011/12/01","9.7","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/12/01","0.312903225806452","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/11/01","0.323333333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/11/01","9.7","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/10/01","11.4","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/10/01","0.367741935483871","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/09/01","0.363333333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/09/01","10.9","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/08/01","12.9","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/08/01","0.416129032258065","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/07/01","0.419354838709677","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/07/01","13","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/06/01","10.9","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/06/01","0.363333333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/05/01","11.3","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/05/01","0.364516129032258","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/04/01","0.346666666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/04/01","10.4","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/03/01","9.8","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/03/01","0.316129032258065","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/02/01","9.4","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/02/01","0.335714285714286","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/01/01","10.4","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2011/01/01","0.335483870967742","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2011/01/01","129.8","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2010/12/01","10.356","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/12/01","0.334064516129032","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/11/01","10.033","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/11/01","0.334433333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/10/01","11.762","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/10/01","0.37941935483871","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/09/01","13.473","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/09/01","0.4491","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/08/01","0.474322580645161","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/08/01","14.704","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/07/01","0.505645161290323","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/07/01","15.675","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/06/01","0.479133333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/06/01","14.374","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/05/01","0.415709677419355","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/05/01","12.887","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/04/01","11.729","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/04/01","0.390966666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/03/01","0.37141935483871","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/03/01","11.514","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/02/01","10.202","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/02/01","0.364357142857143","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/01/01","0.311161290322581","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2010/01/01","9.646","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2010/01/01","146.355","Withdrawal in MGY","wd_mgy"
"59963","NORTH FORK RIVANNA RIVER","2009/12/01","0.329903225806452","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/12/01","10.227","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/11/01","0.3017","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/11/01","9.051","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/10/01","0.361322580645161","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/10/01","11.201","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/09/01","11.386","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/09/01","0.379533333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/08/01","0.412387096774194","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/08/01","12.784","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/07/01","11.052","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/07/01","0.356516129032258","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/06/01","0.357966666666667","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/06/01","10.739","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/05/01","0.356193548387097","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/05/01","11.042","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/04/01","0.305633333333333","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/04/01","9.169","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/03/01","9.173","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/03/01","0.295903225806452","Water withdrawal in Million gallons Per Day","wl_mgd"
"59963","NORTH FORK RIVANNA RIVER","2009/02/01","9.364","Monthly withdrawal in millions of gallons","wd_mgm"
"59963","NORTH FORK RIVANNA RIVER","2009/02/01","0.334428571428571","Water withdrawal in Million gallons Per Day","wl_mgd"
