"","flow","rivseg","basin","river","DAsqmi","bascd","Mid","Last","Downstream","Upstream"
"86",2,"JU2_7180_7380","James River Basin","Buffalo Creek",134.098999,"JU","7180","7380","JU4_7380_7160","NA"
"87",2,"JU2_7450_7360","James River Basin","Potts Creek",156.0039978,"JU","7450","7360","JU2_7360_7000","NA"
"92",2,"PL2_4970_5250","Potomac River Basin","Bull Run",194.6320038,"PL","4970","5250","PL3_5250_0001","NA"
"95",0,"PL0_5010_5130","Potomac River Basin","Accotink Creek",23.94059944,"PL","5010","5130","PL1_5130_0001","NA"
"100",1,"PL1_5370_5470","Potomac River Basin","Cedar Run",93.23410034,"PL","5370","5470","PL2_5470_5360","NA"
"102",0,"PL0_5530_5710","Potomac River Basin","Clark Run",11.24660015,"PL","5530","5710","PL0_5710_0001","NA"
"103",0,"PL0_5540_5490","Potomac River Basin","Quantico Creek",7.385240078,"PL","5540","5490","PL0_5490_0001","NA"
"106",0,"PL0_5730_5690","Potomac River Basin","Aquia Creek",34.53530121,"PL","5730","5690","PL1_5690_0001","NA"
"110",2,"PM2_2860_3040","Potomac River Basin","Marsh Creek",172.6419983,"PM","2860","3040","PM3_3040_3340","NA"
"111",1,"PM1_3120_3400","Potomac River Basin","Big Pipe Creek",107.762001,"PM","3120","3400","PM2_3400_3340","NA"
"112",1,"PM1_3450_3400","Potomac River Basin","Little Pipe Creek",83.32350159,"PM","3450","3400","PM2_3400_3340","NA"
"113",1,"PM1_3510_4000","Potomac River Basin","Catoctin Creek",67.16400146,"PM","3510","4000","PM1_4000_4290","NA"
"114",1,"PM1_3710_4040","Potomac River Basin","Lingamore Creek",89.04679871,"PM","3710","4040","PM4_4040_4410","NA"
"115",1,"PM1_4250_4500","Potomac River Basin","Great Seneca Creek",101.8320007,"PM","4250","4500","PM1_4500_4580","NA"
"116",1,"PM1_4430_4200","Potomac River Basin","Catoctin Creek South Fork",92.56289673,"PM","4430","4200","PM7_4200_4410","NA"
"117",0,"PM0_4640_4820","Potomac River Basin","Cabin John Creek",25.66679955,"PM","4640","4820","PM7_4820_0001","NA"
"118",2,"PM2_4860_4670","Potomac River Basin","Goose Creek",121.177002,"PM","4860","4670","PM3_4670_4660","NA"
"119",1,"PS1_4790_4830","Potomac River Basin","Cedar Creek",102.0770035,"PS","4790","4830","PS1_4830_5080","NA"
"120",2,"PS2_5550_5560","Potomac River Basin","Shenandoah River North Fork",209.8710022,"PS","5550","5560","PS2_5560_5100","NA"
"121",3,"PS3_5990_6161","Potomac River Basin","Dry River",323.3580017,"PS","5990","6161","PS3_6161_6280","NA"
"122",0,"PS0_6150_6160","Potomac River Basin","Blacks Run",11.37849998,"PS","6150","6160","PS0_6160_6161","NA"
"123",3,"PS3_6460_6230","Potomac River Basin","Middle River",374.7090149,"PS","6460","6230","PS4_6230_6360","NA"
"124",2,"PS2_6730_6660","Potomac River Basin","South River",127.322998,"PS","6730","6660","PS2_6660_6490","NA"
"125",3,"PU3_2510_3290","Potomac River Basin","Conococheague Creek West Branch",198.8139954,"PU","2510","3290","PU3_3290_3390","NA"
"126",2,"PU2_2790_3290","Potomac River Basin","Conococheague Creek",280.125,"PU","2790","3290","PU3_3290_3390","NA"
"127",2,"PU2_2840_3080","Potomac River Basin","Licking Creek",158.8309937,"PU","2840","3080","PU2_3080_3640","NA"
"128",0,"PU0_3000_3090","Potomac River Basin","Antietam Creek East Branch",93.40470123,"PU","3000","3090","PU2_3090_4050","NA"
"129",1,"PU1_3030_3440","Potomac River Basin","Tonoloway Creek",114.0019989,"PU","3030","3440","PU6_3440_3590","NA"
"130",1,"PU1_3100_3690","Potomac River Basin","Sideling Hill Crek",104.4660034,"PU","3100","3690","PU6_3690_3610","NA"
"131",2,"PU2_3140_3680","Potomac River Basin","Wills Creek",189.5549927,"PU","3140","3680","PU3_3680_3890","NA"
"132",1,"PU1_3170_3580","Potomac River Basin","Evitts Creek",54.76480103,"PU","3170","3580","PU1_3580_3780","NA"
"133",2,"PU2_3180_3370","Potomac River Basin","Town Creek",66.50959778,"PU","3180","3370","PU2_3370_4020","NA"
"134",0,"PU0_3601_3602","Potomac River Basin","Little Conococheague Creek",18.12290001,"PU","3601","3602","PU6_3602_3730","NA"
"135",0,"PU0_3611_3530","Potomac River Basin","Little Tonoloway Creek",25.17849922,"PU","3611","3530","PU6_3530_3440","NA"
"136",2,"PU2_3630_3590","Potomac River Basin","Sleepy Creek",144.9830017,"PU","3630","3590","PU6_3590_3640","NA"
"137",0,"PU0_3751_3752","Potomac River Basin","Marsh Run",21.0435009,"PU","3751","3752","PU6_3752_4080","NA"
"138",2,"PU2_3770_3600","Potomac River Basin","Back Creek",274.3160095,"PU","3770","3600","PU6_3600_3602","NA"
"139",1,"PU1_3850_4190","Potomac River Basin","Savage River",48.5243988,"PU","3850","4190","PU1_4190_4300","NA"
"140",0,"PU0_3871_3690","Potomac River Basin","Fifteen Mile Creek",62.06430054,"PU","3871","3690","PU6_3690_3610","NA"
"141",1,"PU1_3940_3970","Potomac River Basin","Georges Creek",74.67440033,"PU","3940","3970","PU4_3970_3890","NA"
"142",3,"PU3_4280_3860","Potomac River Basin","Lost River",415.1090088,"PU","4280","3860","PU3_3860_3610","NA"
"143",2,"PU2_4340_3860","Potomac River Basin","North River",206.2259979,"PU","4340","3860","PU3_3860_3610","NA"
"144",2,"PU2_4360_4160","Potomac River Basin","Patterson Creek",218.6230011,"PU","4360","4160","PU2_4160_3930","NA"
"145",2,"PU2_4720_4750","Potomac River Basin","Potomac River North Branch",73.17289734,"PU","4720","4750","PU2_4750_4450","NA"
"146",2,"PU2_4730_4220","Potomac River Basin","Opequon Creek",58.4070015,"PU","4730","4220","PU2_4220_3900","NA"
"147",1,"PU1_4840_4760","Potomac River Basin","Mt. Storm Power Station Dam/Stony River Dam",49.14780045,"PU","4840","4760","PU1_4760_4450","NA"
"148",1,"PU1_5520_5210","Potomac River Basin","Seneca Creek",68.00509644,"PU","5520","5210","PU3_5210_5050","NA"
"149",2,"PU2_5700_5210","Potomac River Basin","Potomac River South Branch North Fork",171.7510071,"PU","5700","5210","PU3_5210_5050","NA"
"150",1,"PU1_5820_5380","Potomac River Basin","Reeds Creek",19.87630081,"PU","5820","5380","PU1_5380_5050","NA"
"151",2,"PU2_6050_5190","Potomac River Basin","Potomac River South Branch South Fork",112.5940018,"PU","6050","5190","PU2_5190_4310","NA"
"152",0,"PU0_6080_5620","Potomac River Basin","South Branch Potomac",180.0140076,"PU","6080","5620","PU0_5620_5380","NA"
"157",2,"RU2_5220_5640","Rappahannock River Basin","Rappahannock River",256.4360046,"RU","5220","5640","RU4_5640_6030","NA"
"158",2,"RU2_5500_5610","Rappahannock River Basin","Thornton River",156.8269958,"RU","5500","5610","RU3_5610_5640","NA"
"159",2,"RU2_5810_5610","Rappahannock River Basin","Hazel River",124.9950027,"RU","5810","5610","RU3_5610_5640","NA"
"160",2,"RU2_5940_6200","Rappahannock River Basin","Robinson River",179.826004,"RU","5940","6200","RU2_6200_6170","NA"
"161",2,"RU2_6090_6220","Rappahannock River Basin","Rapidian River",114.6900024,"RU","6090","6220","RU2_6220_6170","NA"
"163",1,"WM1_3660_3910","Western Shore of Chesapeake Bay","Gwynns Falls",32.54779816,"WM","3660","3910","WM1_3910_0001","NA"
"165",0,"WM0_3881_3880","Western Shore of Chesapeake Bay","Liberty Dam",163.7299957,"WM","3881","3880","WM3_3880_4060","NA"
"166",1,"WM1_3882_3880","Western Shore of Chesapeake Bay","Patapsco River",85.79100037,"WM","3882","3880","WM3_3880_4060","NA"
"167",0,"WU0_3021_3020","Western Shore of Chesapeake Bay","Prettyboy Dam",79.75969696,"WU","3021","3020","WU2_3020_3320","NA"
"168",1,"WU1_3350_3490","Western Shore of Chesapeake Bay","Western Run",59.89080048,"WU","3350","3490","WU1_3490_3480","NA"
"176",0,"XU0_4090_4270","Patuxent River Basin","Little Patuxent River",39.51089859,"XU","4090","4270","XU2_4270_4650","NA"
"177",0,"XU0_4091_4270","Patuxent River Basin","Middle Patuxent River",57.92440033,"XU","4091","4270","XU2_4270_4650","NA"
"178",0,"XU0_4130_4070","Patuxent River Basin","Patuxent River",34.56200027,"XU","4130","4070","XU2_4070_4330","NA"
"181",2,"YM2_6120_6430","York River Basin","Po river",257.394989,"YM","6120","6430","YM3_6430_6620","NA"
"182",1,"YM1_6370_6620","York River Basin","Marracossic Creek",137.1190033,"YM","6370","6620","YM4_6620_0001","NA"
"184",2,"YP2_6390_6330","York River Basin","North Anna Dam",341.928009,"YP","6390","6330","YP3_6330_6700","NA"
"185",3,"YP3_6470_6690","York River Basin","South Anna River",395.2669983,"YP","6470","6690","YP3_6690_6720","NA"
"186",1,"YP1_6570_6680","York River Basin","Little River",106.7480011,"YP","6570","6680","YP1_6680_6670","NA"
"188",0,"YP0_6860_6840","York River Basin","Totoponomoy Creek",25.33130074,"YP","6860","6840","YP0_6840_0001","NA"
