WKT,OBJECTID,IJK,I,J,K,AQ_TOP,IJ,WL_ABV_AQ,Crit_Surf,Unit,SHAPE_Leng,SHAPE_Area,FID_,IJK_1,I_1,J_1,K_1,Critical_S,IJ_1,Unit_1,WSP20_30,WSP20_40,WSP20_50,WSP20_60,WSP20_70,WSP40_30,WSP40_40,WSP40_50,WSP40_60,WSP40_70,WS_SW40_30,WS_SW40_40,WS_SW40_50,WS_SW40_60,WS_SW40_70,A_WSP20_30,A_WSP20_40,A_WSP20_50,A_WSP20_60,A_WSP20_70,A_WSP40_30,A_WSP40_40,A_WSP40_50,A_WSP40_60,A_WSP40_70,A_SW40_30,A_SW40_40,A_SW40_50,A_SW40_60,A_SW40_70
"POLYGON ((-77.3867417274331 38.3774320590017,-77.4051577778199 38.3773710707447,-77.4052370714107 38.3918678631265,-77.3868174168944 38.3919288629296,-77.3867417274331 38.3774320590017))",352,141608,2,8,12,100,"104",-8.9506,107.6,AQAQ,21120,27878400,351,141608,2,8,12,106.2,104,AQAQ,97.2689,97.1663,97.1369,97.1253,97.119,97.2173,97.1003,97.0628,97.0458,97.0359,97.2173,97.101,97.0697,97.0617,97.06,-8.9311,-9.0337,-9.0631,-9.0747,-9.081,-8.9827,-9.0997,-9.1372,-9.1542,-9.1641,-8.9827,-9.099,-9.1303,-9.1383,-9.14
"POLYGON ((-77.3499095392255 38.3775455256556,-77.3683256474315 38.3774902106408,-77.368397732746 38.3919870255777,-77.3499780203765 38.3920423510646,-77.3499095392255 38.3775455256556))",357,141610,2,10,12,95,"106",-20.1774,97.6,AQAQ,21120,27878400,356,141610,2,10,12,98.6,106,AQAQ,74.1548,74.0338,73.9963,73.9798,73.9702,74.0908,73.9516,73.9041,73.8812,73.8672,74.0907,73.9525,73.9121,73.8999,73.8958,-24.4452,-24.5662,-24.6037,-24.6202,-24.6298,-24.5092,-24.6484,-24.6959,-24.7188,-24.7328,-24.5093,-24.6475,-24.6879,-24.7001,-24.7042
"POLYGON ((-77.331493404225 38.3775980040398,-77.3499095392255 38.3775455256556,-77.3499780203765 38.3920423510646,-77.3315582811968 38.3920948393839,-77.331493404225 38.3775980040398))",360,141611,2,11,12,78,"107",-17.3105,88.8,AQAQ,21120,27878400,359,141611,2,11,12,94.6,107,AQAQ,66.9126,66.8033,66.7705,66.7563,66.7481,66.8484,66.7217,66.679,66.6585,66.6461,66.8484,66.7225,66.6871,66.6772,66.6745,-27.6874,-27.7967,-27.8295,-27.8437,-27.8519,-27.7516,-27.8783,-27.921,-27.9415,-27.9539,-27.7516,-27.8775,-27.9129,-27.9228,-27.9255
"POLYGON ((-77.1841635288435 38.3779157117828,-77.2025798274326 38.3778859266259,-77.2026194747792 38.3923828164787,-77.1841995719148 38.3924126072744,-77.1841635288435 38.3779157117828))",382,141619,2,19,12,0,"115",-7.10107,13.4,AQAQ,21120,27878400,381,141619,2,19,12,17.4,115,AQAQ,5.88965,5.88473,5.88154,5.87915,5.87725,5.83606,5.81916,5.80785,5.79981,5.79391,5.83606,5.82056,5.81801,5.82106,5.82481,-11.51035,-11.51527,-11.51846,-11.52085,-11.52275,-11.56394,-11.58084,-11.59215,-11.60019,-11.60609,-11.56394,-11.57944,-11.58199,-11.57894,-11.57519
"POLYGON ((-77.3866660675864 38.3629351628407,-77.4050785152539 38.3628741861293,-77.4051577778199 38.3773710707447,-77.3867417274331 38.3774320590017,-77.3866660675864 38.3629351628407))",692,141704,3,8,12,100,"200",-18.0016,107.8,AQAQ,21120,27878400,691,141704,3,8,12,107.8,200,AQAQ,88.2179,88.1018,88.0676,88.0536,88.0458,88.1633,88.0318,87.9892,87.9697,87.9583,88.1633,88.0325,87.996,87.9856,87.9825,-19.5821,-19.6982,-19.7324,-19.7464,-19.7542,-19.6367,-19.7682,-19.8108,-19.8303,-19.8417,-19.6367,-19.7675,-19.804,-19.8144,-19.8175
"POLYGON ((-77.3682535903216 38.3629933034713,-77.3866660675864 38.3629351628407,-77.3867417274331 38.3774320590017,-77.3683256474315 38.3774902106408,-77.3682535903216 38.3629933034713))",695,141705,3,9,12,111,"201",-42.6618,118,AQAQ,21120,27878400,694,141705,3,9,12,128,201,AQAQ,73.0874,72.9409,72.8962,72.8771,72.8662,73.0243,72.859,72.8043,72.7788,72.7636,73.0243,72.8598,72.8119,72.7966,72.791,-54.9126,-55.0591,-55.1038,-55.1229,-55.1338,-54.9757,-55.141,-55.1957,-55.2212,-55.2364,-54.9757,-55.1402,-55.1881,-55.2034,-55.209
"POLYGON ((-77.3498410848689 38.3630486080145,-77.3682535903216 38.3629933034713,-77.3683256474315 38.3774902106408,-77.3499095392255 38.3775455256556,-77.3498410848689 38.3630486080145))",698,141706,3,10,12,96,"202",-31.1791,100,AQAQ,21120,27878400,697,141706,3,10,12,100,202,AQAQ,65.8158,65.6655,65.6158,65.5931,65.5797,65.7498,65.5795,65.5192,65.4899,65.4721,65.7498,65.5803,65.527,65.5082,65.5003,-34.1842,-34.3345,-34.3842,-34.4069,-34.4203,-34.2502,-34.4205,-34.4808,-34.5101,-34.5279,-34.2502,-34.4197,-34.473,-34.4918,-34.4997
"POLYGON ((-77.3130159950365 38.3631507088146,-77.3314285526374 38.3631010764642,-77.331493404225 38.3775980040398,-77.3130772438402 38.3776476457878,-77.3130159950365 38.3631507088146))",704,141708,3,12,12,7,"204",1.6845,12.8,AQAQ,21120,27878400,703,141708,3,12,12,12,204,AQAQ,0.05222,0.0520655,0.0520171,0.0519954,0.0519826,0.0520874,0.0519017,0.0518363,0.0518038,0.0517836,0.0520872,0.0519033,0.0518509,0.0518369,0.0518337,-11.94778,-11.9479345,-11.9479829,-11.9480046,-11.9480174,-11.9479126,-11.9480983,-11.9481637,-11.9481962,-11.9482164,-11.9479128,-11.9480967,-11.9481491,-11.9481631,-11.9481663
"POLYGON ((-77.2946034134757 38.3631975050602,-77.3130159950365 38.3631507088146,-77.3130772438402 38.3776476457878,-77.2946610594814 38.3776944508939,-77.2946034134757 38.3631975050602))",707,141709,3,13,12,51,"205",-61.1659485,61.2,AQAQ,21120,27878400,706,141709,3,13,12,61.2,205,AQAQ,0.00559571,0.00557824,0.00557255,0.00556985,0.00556817,0.00556585,0.00554274,0.00553369,0.00552875,0.00552552,0.00556578,0.00554315,0.00553724,0.00553644,0.00553687,-61.19440429,-61.19442176,-61.19442745,-61.19443015,-61.19443183,-61.19443415,-61.19445726,-61.19446631,-61.19447125,-61.19447448,-61.19443422,-61.19445685,-61.19446276,-61.19446356,-61.19446313
"POLYGON ((-77.2025401955989 38.3633889445443,-77.2209528758193 38.3633563288947,-77.2209961105089 38.3778533048007,-77.2025798274326 38.3778859266259,-77.2025401955989 38.3633889445443))",722,141714,3,18,12,0,"210",-0.91697,5.2,AQAQ,21120,27878400,721,141714,3,18,12,7,210,AQAQ,3.90378,3.89877,3.89552,3.89308,3.89114,3.84056,3.82304,3.81137,3.8031,3.79703,3.84056,3.82452,3.82207,3.82535,3.82928,-3.09622,-3.10123,-3.10448,-3.10692,-3.10886,-3.15944,-3.17696,-3.18863,-3.1969,-3.20297,-3.15944,-3.17548,-3.17793,-3.17465,-3.17072
"POLYGON ((-77.349772657291 38.3485515990801,-77.3681815613998 38.3484963050079,-77.3682535903216 38.3629933034713,-77.3498410848689 38.3630486080145,-77.349772657291 38.3485515990801))",1040,141802,4,10,12,92,"298",-41.6415,97.4,AQAQ,21120,27878400,1039,141802,4,10,12,97.4,298,AQAQ,52.4189,52.2259,52.156,52.1221,52.1017,52.3485,52.1321,52.0503,52.0093,51.9842,52.3484,52.1329,52.0579,52.0277,52.013,-44.9811,-45.1741,-45.244,-45.2779,-45.2983,-45.0515,-45.2679,-45.3497,-45.3907,-45.4158,-45.0516,-45.2671,-45.3421,-45.3723,-45.387
"POLYGON ((-77.3313637264192 38.3486040575957,-77.349772657291 38.3485515990801,-77.3498410848689 38.3630486080145,-77.3314285526374 38.3631010764642,-77.3313637264192 38.3486040575957))",1042,141803,4,11,12,83,"299",-45.1888,85,AQAQ,21120,27878400,1041,141803,4,11,12,82.8,299,AQAQ,35.8548,35.7209,35.6743,35.6525,35.6395,35.7846,35.6293,35.5723,35.5441,35.5269,35.7845,35.6301,35.5794,35.5611,35.5534,-46.9452,-47.0791,-47.1257,-47.1475,-47.1605,-47.0154,-47.1707,-47.2277,-47.2559,-47.2731,-47.0155,-47.1699,-47.2206,-47.2389,-47.2466
"POLYGON ((-77.3129547701929 38.348653680549,-77.3313637264192 38.3486040575957,-77.3314285526374 38.3631010764642,-77.3130159950365 38.3631507088146,-77.3129547701929 38.348653680549))",1045,141804,4,12,12,70,"300",-59.2376,81.4,AQAQ,21120,27878400,1044,141804,4,12,12,80.6,300,AQAQ,17.9905,17.9227,17.8988,17.8876,17.8808,17.94,17.8595,17.8292,17.8138,17.8043,17.94,17.8601,17.8344,17.8259,17.8226,-62.6095,-62.6773,-62.7012,-62.7124,-62.7192,-62.66,-62.7405,-62.7708,-62.7862,-62.7957,-62.66,-62.7399,-62.7656,-62.7741,-62.7774
"POLYGON ((-77.3865148366677 38.3339410975741,-77.4049200831235 38.3338801439521,-77.4049992836945 38.3483772102189,-77.3865904373371 38.3484381753853,-77.3865148366677 38.3339410975741))",1380,141896,5,8,12,100,"392",-15.3119,104.4,AQAQ,21120,27878400,1379,141896,5,8,12,107,392,AQAQ,88.1322,88.1018,88.0927,88.0884,88.0858,87.9835,87.9355,87.9164,87.9057,87.8985,87.9835,87.9378,87.9304,87.9332,87.9374,-18.8678,-18.8982,-18.9073,-18.9116,-18.9142,-19.0165,-19.0645,-19.0836,-19.0943,-19.1015,-19.0165,-19.0622,-19.0696,-19.0668,-19.0626
"POLYGON ((-77.3681095606493 38.3339992161892,-77.3865148366677 38.3339410975741,-77.3865904373371 38.3484381753853,-77.3681815613998 38.3484963050079,-77.3681095606493 38.3339992161892))",1382,141897,5,9,12,88,"393",-5.4559,88,AQAQ,21120,27878400,1381,141897,5,9,12,88,393,AQAQ,81.5873,81.5598,81.5521,81.5488,81.5468,81.5014,81.4619,81.4477,81.4401,81.4352,81.5014,81.4632,81.4561,81.4571,81.4594,-6.4127,-6.4402,-6.4479,-6.4512,-6.4532,-6.4986,-6.5381,-6.5523,-6.5599,-6.5648,-6.4986,-6.5368,-6.5439,-6.5429,-6.5406
"POLYGON ((-77.294488189103 38.3342033404553,-77.3128935692952 38.3341565619296,-77.3129547701929 38.348653680549,-77.2945457900206 38.3487004679344,-77.294488189103 38.3342033404553))",1393,141901,5,13,12,-3,"397",1.40750333,-1.4,AQAQ,21120,27878400,1392,141901,5,13,12,2,397,AQAQ,0.00617003,0.00615988,0.00615518,0.00615204,0.00614962,0.00601352,0.00598579,0.00597029,0.00595991,0.00595244,0.00601351,0.00598873,0.00598712,0.00599222,0.0059976,-1.99382997,-1.99384012,-1.99384482,-1.99384796,-1.99385038,-1.99398648,-1.99401421,-1.99402971,-1.99404009,-1.99404756,-1.99398649,-1.99401127,-1.99401288,-1.99400778,-1.9940024
"POLYGON ((-77.2760827863867 38.3342472839449,-77.294488189103 38.3342033404553,-77.2945457900206 38.3487004679344,-77.276136787311 38.3487444197468,-77.2760827863867 38.3342472839449))",1396,141902,5,14,12,24,"398",-41.1731383,41.2,AQAQ,21120,27878400,1395,141902,5,14,12,41.2,398,AQAQ,0.0236181,0.0235864,0.0235702,0.0235587,0.0235498,0.0231631,0.023067,0.0230108,0.0229723,0.0229445,0.0231631,0.0230801,0.0230787,0.023099,0.0231192,-41.1763819,-41.1764136,-41.1764298,-41.1764413,-41.1764502,-41.1768369,-41.176933,-41.1769892,-41.1770277,-41.1770555,-41.1768369,-41.1769199,-41.1769213,-41.176901,-41.1768808
"POLYGON ((-77.4232425305325 38.3193192117257,-77.4416441151833 38.3192526007279,-77.4417304817166 38.3337497317144,-77.423325298609 38.3338163553298,-77.4232425305325 38.3193192117257))",1724,141990,6,6,12,100,"486",-13.897,119.6,AQAQ,21120,27878400,1721,141990,6,6,12,119.4,486,AQAQ,104.653,104.618,104.608,104.604,104.602,104.514,104.464,104.445,104.436,104.429,104.514,104.466,104.458,104.46,104.464,-14.747,-14.782,-14.792,-14.796,-14.798,-14.886,-14.936,-14.955,-14.964,-14.971,-14.886,-14.934,-14.942,-14.94,-14.936
"POLYGON ((-77.4048409135228 38.3193829882673,-77.4232425305325 38.3193192117257,-77.423325298609 38.3338163553298,-77.4049200831235 38.3338801439521,-77.4048409135228 38.3193829882673))",1727,141991,6,7,12,100,"487",-20.8714,117.8,AQAQ,21120,27878400,1724,141991,6,7,12,121,487,AQAQ,95.7369,95.706,95.6967,95.6924,95.6896,95.5691,95.5193,95.4992,95.4878,95.4802,95.5691,95.5218,95.5148,95.5182,95.523,-25.2631,-25.294,-25.3033,-25.3076,-25.3104,-25.4309,-25.4807,-25.5008,-25.5122,-25.5198,-25.4309,-25.4782,-25.4852,-25.4818,-25.477
"POLYGON ((-77.386439265561 38.3194439303455,-77.4048409135228 38.3193829882673,-77.4049200831235 38.3338801439521,-77.3865148366677 38.3339410975741,-77.386439265561 38.3194439303455))",1730,141992,6,8,12,97,"488",-34.2682,119,AQAQ,21120,27878400,1727,141992,6,8,12,118.2,488,AQAQ,83.1036,83.0653,83.0534,83.0475,83.0437,82.8806,82.8161,82.7892,82.7736,82.763,82.8806,82.8198,82.811,82.816,82.8225,-35.0964,-35.1347,-35.1466,-35.1525,-35.1563,-35.3194,-35.3839,-35.4108,-35.4264,-35.437,-35.3194,-35.3802,-35.389,-35.384,-35.3775
"POLYGON ((-77.3680375880539 38.3195020379537,-77.386439265561 38.3194439303455,-77.3865148366677 38.3339410975741,-77.3681095606493 38.3339992161892,-77.3680375880539 38.3195020379537))",1733,141993,6,9,12,89,"489",-30.435,106.2,AQAQ,21120,27878400,1730,141993,6,9,12,103.8,489,AQAQ,73.6409,73.5922,73.5771,73.5697,73.5649,73.3961,73.3156,73.2826,73.2637,73.2509,73.3961,73.32,73.3084,73.3138,73.3212,-30.1591,-30.2078,-30.2229,-30.2303,-30.2351,-30.4039,-30.4844,-30.5174,-30.5363,-30.5491,-30.4039,-30.48,-30.4916,-30.4862,-30.4788
"POLYGON ((-77.3496358824084 38.3195573110853,-77.3680375880539 38.3195020379537,-77.3681095606493 38.3339992161892,-77.349704256476 38.3340544997909,-77.3496358824084 38.3195573110853))",1735,141994,6,10,12,82,"490",-30.6075,93.2,AQAQ,21120,27878400,1732,141994,6,10,12,93.2,490,AQAQ,59.9867,59.9115,59.888,59.8765,59.869,59.642,59.5181,59.4677,59.4387,59.4192,59.642,59.5245,59.5053,59.5124,59.5231,-33.2133,-33.2885,-33.312,-33.3235,-33.331,-33.558,-33.6819,-33.7323,-33.7613,-33.7808,-33.558,-33.6755,-33.6947,-33.6876,-33.6769
"POLYGON ((-77.3128323923294 38.3196593538948,-77.3312341500313 38.3196097497343,-77.3312989255554 38.334106948373,-77.3128935692952 38.3341565619296,-77.3128323923294 38.3196593538948))",1740,141996,6,12,12,68,"492",-43.918,75.8,AQAQ,21120,27878400,1737,141996,6,12,12,75,492,AQAQ,28.6481,28.6053,28.5883,28.5779,28.5702,28.2104,28.1115,28.0611,28.0286,28.0054,28.2104,28.121,28.1136,28.1286,28.1448,-46.3519,-46.3947,-46.4117,-46.4221,-46.4298,-46.7896,-46.8885,-46.9389,-46.9714,-46.9946,-46.7896,-46.879,-46.8864,-46.8714,-46.8552
"POLYGON ((-77.2944306107097 38.3197061235613,-77.3128323923294 38.3196593538948,-77.3128935692952 38.3341565619296,-77.294488189103 38.3342033404553,-77.2944306107097 38.3197061235613))",1742,141997,6,13,12,58,"493",-48.4312,72.4,AQAQ,21120,27878400,1739,141997,6,13,12,66.8,493,AQAQ,20.468,20.4394,20.4267,20.4183,20.4119,20.1105,20.0351,19.994,19.9666,19.947,20.1105,20.044,20.0408,20.0547,20.0691,-46.332,-46.3606,-46.3733,-46.3817,-46.3881,-46.6895,-46.7649,-46.806,-46.8334,-46.853,-46.6895,-46.756,-46.7592,-46.7453,-46.7309
"POLYGON ((-77.2760288065789 38.3197500587285,-77.2944306107097 38.3197061235613,-77.294488189103 38.3342033404553,-77.2760827863867 38.3342472839449,-77.2760288065789 38.3197500587285))",1744,141998,6,14,12,38,"494",-34.1247,49.2,AQAQ,21120,27878400,1741,141998,6,14,12,42,494,AQAQ,13.2437,13.2261,13.2172,13.2109,13.206,12.997,12.9437,12.9126,12.8915,12.8762,12.997,12.9511,12.9507,12.9622,12.9737,-28.7563,-28.7739,-28.7828,-28.7891,-28.794,-29.003,-29.0563,-29.0874,-29.1085,-29.1238,-29.003,-29.0489,-29.0493,-29.0378,-29.0263
"POLYGON ((-77.239225136412 38.3198294255462,-77.2576269813441 38.3197911593917,-77.2576773625538 38.3342883923935,-77.2392719190122 38.3343266657965,-77.239225136412 38.3198294255462))",1750,142000,6,16,12,7,"496",-26.1733612,26.2,AQAQ,21120,27878400,1746,142000,6,16,12,26.2,496,AQAQ,0.0241337,0.0240712,0.0240305,0.0239993,0.0239741,0.0231625,0.0229208,0.0227654,0.0226564,0.0225765,0.0231623,0.0229636,0.0229738,0.0230374,0.0230984,-26.1758663,-26.1759288,-26.1759695,-26.1760007,-26.1760259,-26.1768375,-26.1770792,-26.1772346,-26.1773436,-26.1774235,-26.1768377,-26.1770364,-26.1770262,-26.1769626,-26.1769016
"POLYGON ((-77.2208232731896 38.3198648571878,-77.239225136412 38.3198294255462,-77.2392719190122 38.3343266657965,-77.2208664571695 38.3343621041497,-77.2208232731896 38.3198648571878))",1752,142001,6,17,12,19,"497",-29.7872043,29.8,AQAQ,21120,27878400,1748,142001,6,17,12,29.8,497,AQAQ,0.00928167,0.00912925,0.00902291,0.0089395,0.00887179,0.00753862,0.00691695,0.00650712,0.00621671,0.00600307,0.00753821,0.00704097,0.00708355,0.00725588,0.00741882,-29.79071833,-29.79087075,-29.79097709,-29.7910605,-29.79112821,-29.79246138,-29.79308305,-29.79349288,-29.79378329,-29.79399693,-29.79246179,-29.79295903,-29.79291645,-29.79274412,-29.79258118
"POLYGON ((-77.2024213930838 38.3198974543126,-77.2208232731896 38.3198648571878,-77.2208664571695 38.3343621041497,-77.2024609784336 38.3343947074491,-77.2024213930838 38.3198974543126))",1755,142002,6,18,12,0,"498",-21.705551,22,AQAQ,21120,27878400,1751,142002,6,18,12,31,498,AQAQ,-0.552195,-0.604157,-0.640917,-0.669787,-0.693202,-1.06962,-1.2818,-1.42288,-1.52308,-1.59684,-1.06962,-1.23924,-1.22524,-1.16638,-1.11036,-31.552195,-31.604157,-31.640917,-31.669787,-31.693202,-32.06962,-32.2818,-32.42288,-32.52308,-32.59684,-32.06962,-32.23924,-32.22524,-32.16638,-32.11036
"POLYGON ((-77.1840194975015 38.3199272169169,-77.2024213930838 38.3198974543126,-77.2024609784336 38.3343947074491,-77.1840554842121 38.3344244756912,-77.1840194975015 38.3199272169169))",1757,142003,6,19,12,-13,"499",-10.984596,10.4,AQAQ,21120,27878400,1753,142003,6,19,12,1.2,499,AQAQ,-1.67568,-1.75484,-1.81089,-1.85493,-1.89058,-2.35186,-2.67102,-2.88444,-3.0362,-3.1481,-2.352,-2.60684,-2.58668,-2.49881,-2.41477,-2.87568,-2.95484,-3.01089,-3.05493,-3.09058,-3.55186,-3.87102,-4.08444,-4.2362,-4.3481,-3.552,-3.80684,-3.78668,-3.69881,-3.61477
"POLYGON ((-77.1656175878497 38.3199541449974,-77.1840194975015 38.3199272169169,-77.1840554842121 38.3344244756912,-77.1656499759127 38.3344514088725,-77.1656175878497 38.3199541449974))",1760,142004,6,20,12,-31,"500",0.36943,-3.4,AQAQ,21120,27878400,1756,142004,6,20,12,4.6,500,AQAQ,-4.88462,-5.04083,-5.1512,-5.23754,-5.30727,-6.05939,-6.67376,-7.08728,-7.38212,-7.59965,-6.05971,-6.55343,-6.5228,-6.358,-6.19801,-9.48462,-9.64083,-9.7512,-9.83754,-9.90727,-10.65939,-11.27376,-11.68728,-11.98212,-12.19965,-10.65971,-11.15343,-11.1228,-10.958,-10.79801
"POLYGON ((-77.4231597948149 38.3048219796414,-77.4415577824157 38.3047553812606,-77.4416441151833 38.3192526007279,-77.4232425305325 38.3193192117257,-77.4231597948149 38.3048219796414))",2073,142086,7,6,12,100,"582",-21.6315,114,AQAQ,21120,27878400,2066,142086,7,6,12,117.8,582,AQAQ,90.9134,90.8822,90.8726,90.8681,90.8652,90.721,90.6691,90.6478,90.6356,90.6274,90.7211,90.6719,90.6649,90.669,90.6743,-26.8866,-26.9178,-26.9274,-26.9319,-26.9348,-27.079,-27.1309,-27.1522,-27.1644,-27.1726,-27.0789,-27.1281,-27.1351,-27.131,-27.1257
