Name,FIPS,Major_Basi,Planner,RPA,CoordOrg
Roanoke,51161,Roanoke Basin,Kati Burton,Roanoke River 1,RV-ARC
Rockbridge,51163,Upper James River Basin,Gouri Mahadwar,Upper James River 1,CSPDC
Rockingham,51165,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 1,CSPDC
Russell,51167,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2,CPPDC
Scott,51169,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee 1, 
Shenandoah,51171,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
Smyth,51173,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2, 
Southampton,51175,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Spotsylvania,51177,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 2, 
Stafford,51179,Potomac Basin,Hannah Somers,Northern Piedmont 2, 
Surry,51181,James River Basin,Andrew Noyes,Southeast Virginia,HRPDC
Sussex,51183,Chowan and Dismal,Andrew Noyes,Chowan River 2,Crater PDC
Tazewell,51185,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2,CPPDC
Warren,51187,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
Washington,51191,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2, 
Westmoreland,51193,Potomac Basin,Hannah Somers,Northern Coastal Plain 1, 
Wise,51195,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee 1, 
Wythe,51197,New River Basin,Kati Burton,New River 2, 
York,51199,James River Basin,Andrew Noyes,York and James River 2,HRPDC
Alexandria,51510,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Bristol,51520,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2, 
Buena Vista,51530,Upper James River Basin,Gouri Mahadwar,Upper James River 1,CSPDC
Charlottesville,51540,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 1, 
Chesapeake,51550,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Colonial Heights,51570,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Covington,51580,Upper James River Basin,Kati Burton,Upper James River 2,RV-ARC
Danville,51590,Roanoke Basin,Kati Burton,Roanoke River 2, 
Emporia,51595,Chowan and Dismal,Andrew Noyes,Chowan River 2,Crater PDC
Fairfax City,51600,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Falls Church,51610,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Franklin City,51620,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Fredericksburg,51630,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 2, 
Galax,51640,New River Basin,Kati Burton,New River 2, 
Hampton,51650,James River Basin,Andrew Noyes,York and James River 2,HRPDC
Harrisonburg,51660,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 1,CSPDC
Hopewell,51670,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Lexington,51678,Upper James River Basin,Gouri Mahadwar,Upper James River 1,CSPDC
Lynchburg,51680,Roanoke Basin,Gouri Mahadwar,Middle James River 2, 
Manassas,51683,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Manassas Park,51685,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Martinsville,51690,Roanoke Basin,Kati Burton,Roanoke River 2, 
Newport News,51700,James River Basin,Andrew Noyes,York and James River 2,HRPDC
Norfolk,51710,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Norton,51720,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee 1, 
Petersburg,51730,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Poquoson,51735,James River Basin,Andrew Noyes,York and James River 2,HRPDC
Portsmouth,51740,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Radford,51750,New River Basin,Kati Burton,New River 1,NRVRC
Richmond City,51760,James River Basin,Gouri Mahadwar,Middle James River 3, 
Roanoke City,51770,Roanoke Basin,Kati Burton,Roanoke River 1,RV-ARC
Salem,51775,Roanoke Basin,Kati Burton,Roanoke River 1,RV-ARC
Staunton,51790,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 1,CSPDC
Suffolk,51800,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Virginia Beach,51810,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
Waynesboro,51820,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 1,CSPDC
Williamsburg,51830,James River Basin,Andrew Noyes,York and James River 2,HRPDC
Winchester,51840,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
 , ,Tennesseee and Big Sandy River Basin, ,,
