"","segment","gage","gageDA","segDA","error","upsegs"
"26","PU1_3100_3690",1610155,102,104.47,-2.4177,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690"
"27","PU1_3850_4190",1596500,49.1,48.52,1.1723,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690+PU1_3170_3580+PU1_3580_3780+PU1_3850_4190"
"28","PU2_4720_4750",1595000,73.1,73.17,-0.0997,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690+PU1_3170_3580+PU1_3580_3780+PU1_3850_4190+PU1_3940_3970+PU1_4190_4300+PU1_4300_4440+PU1_4760_4450+PU1_4840_4760+PU1_5380_5050+PU1_5520_5210+PU1_5820_5380+PU2_2790_3290+PU2_2840_3080+PU2_3080_3640+PU2_3090_4050+PU2_3140_3680+PU2_3180_3370+PU2_3370_4020+PU2_3630_3590+PU2_3770_3600+PU2_3900_3750+PU2_4050_4180+PU2_4160_3930+PU2_4220_3900+PU2_4340_3860+PU2_4360_4160+PU2_4720_4750"
"29","PU2_4730_4220",1615000,58.2,58.41,-0.3557,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690+PU1_3170_3580+PU1_3580_3780+PU1_3850_4190+PU1_3940_3970+PU1_4190_4300+PU1_4300_4440+PU1_4760_4450+PU1_4840_4760+PU1_5380_5050+PU1_5520_5210+PU1_5820_5380+PU2_2790_3290+PU2_2840_3080+PU2_3080_3640+PU2_3090_4050+PU2_3140_3680+PU2_3180_3370+PU2_3370_4020+PU2_3630_3590+PU2_3770_3600+PU2_3900_3750+PU2_4050_4180+PU2_4160_3930+PU2_4220_3900+PU2_4340_3860+PU2_4360_4160+PU2_4720_4750+PU2_4730_4220"
"30","RL5_6320_0000",1669000,27.9,27.09,2.9179,"RL5_6320_0000"
"31","WM1_3910_0001",1589300,32.5,32.43,0.2025,"WM1_3660_3910+WM1_3910_0001"
"32","XL0_5320_0001",1594670,9.38,9.28,1.0821,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001+PL0_5830_0001+PL1_5910_0001+RL0_6540_0001+XL0_5320_0001"
"33","XL1_4690_0001",1594526,89.7,93.03,-3.7153,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001+PL0_5830_0001+PL1_5910_0001+RL0_6540_0001+XL0_5320_0001+JB2_7800_0001+JB1_8090_0001+PL1_5230_0001+PL0_5000_0001+PL0_5070_0001+PL0_5510_0001+PL0_5720_0001+PL0_5750_0001+RL1_6180_0001+WM0_3650_0001+WM0_3740_0001+WU1_3482_0001+WU0_3670_0001+XL1_4690_0001"
"34","YP1_6570_6680",1671100,107,106.75,0.2355,"YP1_6570_6680"
"35","JA1_7600_7570",2041000,158,157.944,0.0354,"JA1_7600_7570"
"36","JL1_6760_6910",2030000,116,115.679,0.2767,"JL1_6560_6440+JL1_6760_6910"
"37","JL1_7080_7190",2027500,47.7,47.5029,0.4132,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190"
"38","JL1_6940_7200",2027000,93,93.3617,-0.3889,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200"
"39","JL1_6770_6850",2028500,94.8,93.1323,1.7592,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850"
"40","JL2_7110_7120",2030500,226,226.756,-0.3345,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120"
"41","JL2_7240_7350",2027800,148,146.122,1.2689,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350"
"42","JU1_7750_7560",2018500,34.3,34.2917,0.0242,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490+JU1_7690_7490+JU1_7750_7560"
"43","JU2_7450_7360",2014000,153,156.004,-1.9634,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490+JU1_7690_7490+JU1_7750_7560+JU2_6410_6640+JU2_6600_6810+JU2_6810_6900+JU2_7140_7330+JU2_7180_7380+JU2_7360_7000+JU2_7450_7360"
"44","PL1_5230_0001",1658000,54.8,55.5269,-1.3265,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001+PL0_5830_0001+PL1_5910_0001+RL0_6540_0001+XL0_5320_0001+JB2_7800_0001+JB1_8090_0001+PL1_5230_0001"
"45","PL0_5540_5490",1658500,7.62,7.38524,3.0808,"PL0_5490_0001+PL0_5540_5490"
"46","PL1_5910_0001",1661500,24,24.5351,-2.2296,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001+PL0_5830_0001+PL1_5910_0001"
"47","PL0_5730_5690",1660400,35,34.5353,1.3277,"PL0_5730_5690"
"48","PL1_5370_5470",1656000,93.4,93.2341,0.1776,"PL0_5141_5140+PL1_5370_5470"
"49","PM2_2860_3040",1639000,173,172.642,0.2069,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040"
"50","PM2_4860_4670",1643700,122,121.177,0.6746,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670"
"51","PS1_4790_4830",1634500,102,102.077,-0.0755,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830"
"52","PS2_5550_5560",1632000,210,209.871,0.0614,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560"
"53","PU0_6080_5620",1605500,179,180.014,-0.5665,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620"
"54","PU1_4840_4760",1595200,48.7,49.1478,-0.9195,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690+PU1_3170_3580+PU1_3580_3780+PU1_3850_4190+PU1_3940_3970+PU1_4190_4300+PU1_4300_4440+PU1_4760_4450+PU1_4840_4760"
