"","Overall.Mean.Flow","Jan..Low.Flow","Feb..Low.Flow","Mar..Low.Flow","Apr..Low.Flow","May.Low.Flow","Jun..Low.Flow","Jul..Low.Flow","Aug..Low.Flow","Sep..Low.Flow","Oct..Low.Flow","Nov..Low.Flow","Dec..Low.Flow","Jan..Mean.Flow","Feb..Mean.Flow","Mar..Mean.Flow","Apr..Mean.Flow","May.Mean.Flow","Jun..Mean.Flow","Jul..Mean.Flow","Aug..Mean.Flow","Sep..Mean.Flow","Oct..Mean.Flow","Nov..Mean.Flow","Dec..Mean.Flow","Min..1.Day.Min","Med..1.Day.Min.","Min..3.Day.Min","Med..3.Day.Min.","Min..7.Day.Min","Med..7.Day.Min.","Min..30.Day.Min","Med..30.Day.Min.","Min..90.Day.Min","Med..90.Day.Min.","X7Q10","Year.of.90.Day.Low.Flow","X1..Non.Exceedance","X5..Non.Exceedance","X50..Non.Exceedance","X95..Non.Exceedance","X99..Non.Exceedance","Sept..10..Non.Exceedance","Mean.Baseflow","Jan..High.Flow","Feb..High.Flow","Mar..High.Flow","Apr..High.Flow","May.High.Flow","Jun..High.Flow","Jul..High.Flow","Aug..High.Flow","Sep..High.Flow","Oct..High.Flow","Nov..High.Flow","Dec..High.Flow","Max..1.Day.Max","Med..1.Day.Max.","Max..3.Day.Max","Med..3.Day.Max.","Max..7.Day.Max","Med..7.Day.Max.","Max..30.Day.Max","Med..30.Day.Max.","Max..90.Day.Max","Med..90.Day.Max.","Drought.Year.Mean"
"TU4_8680_8810",703,86.8,178,250,396,491,586,398,245,193,116,122,83.5,1010,1430,1310,965,715,512,354,326,301,334,479,754,8.21,35.7,8.65,38.6,10,45.6,27.6,74.4,69.6,191,18.4,1988,34,74,423,2070,4980,55.9,375,354,923,1300,3520,3250,3990,1800,1660,938,493,479,354,19100,8170,13200,5140,7210,3390,4050,1920,2720,1410,703
"TU2_8790_9070",253,43.5,61.3,87.8,140,214,231,172,127,101,66,58.3,51.3,343,481,476,367,252,204,146,135,117,123,166,243,8.17,22.7,8.82,24.1,9.73,26.4,13.3,42,37.3,77.7,12.6,1985,17.9,35.1,167,678,1480,32.2,155,113,239,367,1080,1060,1430,650,540,315,250,184,151,5960,2580,4020,1750,2450,1080,1400,641,932,539,253
"TU4_8800_9290",691,119,199,295,435,688,728,545,363,342,215,190,149,945,1320,1310,1020,722,554,383,352,300,316,432,681,36.3,80.6,36.7,81.5,38.6,83.5,49,115,105,211,45.4,1988,56.6,94.8,473,1850,3690,88.9,466,260,596,890,2510,2390,2800,1760,1570,904,540,435,344,12700,4390,8790,3600,6450,2610,3590,1760,2550,1440,691
"TU4_8810_9000",875,110,204,303,493,635,745,509,311,264,158,159,120,1260,1790,1630,1220,887,637,436,403,362,413,588,937,9.81,56.2,9.89,61,11.1,67.7,34.6,95.4,90.9,243,23.4,1988,46.4,93.6,532,2600,6030,75.5,480,403,1250,1440,3600,4380,4520,2170,1770,1090,629,549,427,22400,10100,16500,6430,9230,4220,5100,2420,3480,1770,875
"BS4_8540_8441",294,55,66.8,92.5,150,186,177,55,55,55,55,55,55,421,623,545,316,165,187,114,118,120,371,220,342,55,55,55,55,55,55,55,55,55,70.4,55.6,1985,55,55,159,912,2420,55,136,752,721,788,1110,2030,1420,810,401,248,203,231,153,3760,2590,3680,2350,3400,1530,1800,838,1330,568,294
"BS3_8580_8440",142,14,30.3,46.5,73.4,88.6,77.2,52.1,31.9,21,17,14.3,10.6,200,295,256,186,143,97.1,62,60.3,56.6,74.7,108,170,0.53,6.62,0.799,7.23,1.45,8.48,5.94,17.3,11.4,34.3,2.57,1988,5.3,11.8,76.1,434,1250,8.04,61.4,96.1,494,397,455,977,725,561,665,143,107,128,80.8,5920,2530,3540,1350,2190,835,874,428,646,275,142
"BS2_8590_8440",204,24.4,36.1,86.9,115,142,149,101,69.1,44.6,20.9,16.1,16.1,285,406,362,280,225,145,95.4,89.5,78.1,105,152,238,0.658,6.53,0.891,7.07,1.43,8.61,5.77,20.9,11,52.5,2.9,1988,5.77,13.7,119,619,1640,8.53,96.9,154,619,566,676,1360,830,646,633,285,206,250,130,7010,3250,4390,1650,2940,1170,1230,583,871,396,204
"BS1_8730_8540",83.3,7.49,20.2,24.8,42.5,55.2,50.6,36.7,23.3,13.8,11.4,13.8,8.02,119,177,155,112,81.2,54.5,36.6,35.9,34.4,40.3,61,98.8,0,4.75,0.0118,5.23,0.332,6.25,4.15,12.4,8.69,23.9,1.35,1988,3.32,7.88,47.1,253,668,5.65,39.2,70.3,200,239,309,561,400,266,332,77.3,74.7,72.4,53.2,3090,1290,1800,681,1130,463,528,254,391,171,83.3
"MN2_8250_8190",100,11.2,24.2,29,43.2,64.3,60.3,48,30.6,21.4,16.3,13,12.5,131,161,208,150,92.5,66.7,37.2,50.6,87.1,56,80.5,89.2,3.21,8.31,3.33,8.53,3.65,9.38,4.42,13.4,7.95,22,4.43,2002,5.24,9.36,49,307,947,8.84,44.6,86.8,328,273,461,416,847,415,179,73.3,92.1,67.7,53.9,7620,2560,2920,1050,1740,703,645,272,439,173,100
"MN4_8260_8400",703,58.7,144,183,313,535,403,303,171,116,76.3,58.3,66.9,941,1170,1470,1070,605,396,253,362,667,362,525,649,7.36,39.6,7.51,42.4,8.29,48,12.7,63.8,34.3,122,15.6,2002,21.6,44.4,347,2470,5790,40.4,329,386,1010,1170,2640,2470,3570,3040,1020,384,347,762,383,29700,7780,18900,6510,12500,4560,4250,1900,2920,1390,703
"MN0_8300_0001",25.6,0.364,1.5,4.46,8.06,12.7,9.59,3.96,1.08,0.187,0.0376,0.731,0.196,40.2,44.2,43.2,29,13.9,10.5,10.9,23,35.8,16.1,17.2,25.1,1.65e-05,0.000355,2.58e-05,0.000578,4.28e-05,0.00744,0.00181,0.874,0.648,4.23,9.75e-05,2002,0.000248,0.0773,9.66,93.5,258,0.0791,7.13,41.3,82.1,72,167,159,139,169,46.9,36.1,27.3,36.4,56.6,2650,628,2090,335,1030,172,349,79.9,128,50.9,25.6
"MN4_8400_8380",766,67.4,167,210,354,588,436,333,191,129,82.3,71.2,75.4,1020,1270,1590,1170,654,429,279,405,745,397,560,707,8.57,49.1,8.99,51.7,9.79,56.8,14.7,72,38.4,142,18,2002,24.3,50.1,379,2690,6580,47.5,365,374,957,1140,2770,2620,3650,3040,1010,430,376,839,462,15200,7930,14800,6650,12900,4820,4730,2030,3130,1490,766
"MN4_8510_8380",225,10.2,32.9,49.9,100,140,96.6,60.2,30.8,22.5,11.9,11.4,9.36,333,378,486,322,158,91.8,87.9,143,252,109,146,203,0,4.12,2.86e-15,4.7,-1.13e-13,5.75,1.79,8.78,7.35,32.2,0.00412,2002,1.87,7.54,85.9,851,2730,7.33,78.5,125,341,537,973,1280,1470,824,358,145,97.1,307,122,9940,3910,9230,2820,6970,1570,2190,660,901,429,225
"MN2_8530_8510",67.4,3.25,12.9,18.5,29.3,43.4,30.3,19.7,9.82,6.41,3.97,3.55,2.98,97.9,112,145,95.2,49.6,29.3,26.9,42.9,68.4,32.6,48.8,63,0.0273,1.91,0.033,2.02,0.0505,2.29,0.518,3.34,2.32,9.88,0.213,2002,0.626,2.49,27.2,229,685,2.52,24.3,33.2,120,121,369,401,478,273,126,57.2,32.1,93.7,39.8,7860,1670,3310,873,1540,467,544,190,257,144,67.4
"NR6_7820_7960",4270,1290,1410,2570,2620,3970,4470,2200,1620,2290,3810,2460,1630,4830,5680,6390,5130,3660,4200,4460,3770,3070,3120,3260,3680,990,1100,991,1110,991,1150,1000,1340,1100,2130,1010,2002,1040,1160,3460,10700,15600,1260,3510,2450,2700,3940,8320,5880,8150,6440,5510,5090,5280,4650,3040,27100,16400,24100,15100,20900,13700,15200,10000,11400,7110,4270
"NR1_7880_8050",62.5,3.96,13.4,23.9,26.1,31.3,49.4,30.5,13.2,3.66,0,0.302,0.17,79,105,106,84.4,75.5,53.4,27.4,29.1,43.4,35.1,55,60.5,0,0,-1.19e-13,2.17e-15,-8.21e-14,2.66e-14,1.61e-05,3.13,2.53,16.7,2.67e-15,1987,0,0,37.2,192,480,0,27.3,46.8,229,160,241,263,328,221,322,139,78.1,50.3,76.1,1980,898,1130,578,602,334,353,164,220,108,62.5
"BS3_8350_8330",380,54.7,63.8,169,265,327,321,253,167,118,6.21,18.6,12,523,714,664,555,465,283,192,172,136,185,271,423,0,1.62,-1.54e-13,1.92,2.72e-13,3.23,2.16,27.7,8.26,90,0.000322,1988,0.703,7.71,245,1120,2850,2.36,201,225,811,958,1360,1590,1710,1130,1270,583,422,222,230,11800,5350,6980,3340,4880,2160,2330,986,1490,716,380
"BS4_8440_8441",399,45.3,77.9,174,221,263,268,186,122,79.5,45.2,37,31,559,806,712,540,429,281,184,174,156,207,300,469,1.6,15.5,2.15,16.6,3.52,20.2,13.4,42.9,25.3,100,6.66,1988,12.9,30.1,227,1220,3290,19.5,185,299,1270,1180,1360,2850,1770,1370,1470,525,394,519,247,14700,6220,9020,3370,5890,2290,2390,1160,1740,768,399
"MN3_7540_7680",311,13,59.9,94.5,169,244,185,103,52.7,15.3,13.7,16.9,15.5,441,522,572,426,246,149,110,228,374,179,202,298,0.266,2.78,0.31,3.14,0.427,3.98,2.83,10.4,14,53,1.35,1993,3.14,7.16,179,1030,2030,7.2,144,178,403,456,848,891,980,986,494,260,146,293,227,13900,2570,12500,2160,9140,1700,2740,793,1230,592,311
"MN1_7590_7860",95.9,4.08,20.1,22.5,48.9,74.8,53.3,33.7,23.4,10.4,3.97,6.76,4.03,132,161,165,124,75.2,49.2,41,72.9,117,60.8,64.2,92.2,0.000518,0.577,0.000712,0.756,0.00175,1.07,0.409,6.61,4.17,21.4,0.0437,1993,0.3,2.49,59.7,305,556,2.17,45.7,54.7,140,151,203,269,224,317,141,122,59.1,95.8,74.1,6190,755,5360,650,3290,490,1030,268,382,180,95.9
"MN1_7620_7710",117,5.98,20.5,24.8,43.2,75.4,65.5,40,22.1,13.2,6.19,8.29,6.24,163,194,241,165,100,53.3,37.4,72.3,128,57.5,85.7,111,0.0415,1.96,0.0473,2.28,0.0641,3.05,0.666,6.31,6.19,23.1,0.541,2002,1.66,4.97,53.3,381,1170,4.61,46.6,74.2,155,214,399,433,964,430,233,73.8,75.3,76.3,78.7,8500,2310,5170,1350,2560,783,748,366,499,236,117
"MN3_7680_7860",350,16,72.6,106,193,280,214,126,67.6,19,16.4,21,18.4,492,588,639,480,279,171,126,256,422,205,226,334,0.433,4.22,0.504,4.79,0.695,6.39,3.51,11.8,16,59.7,2.03,1993,4.37,9.28,202,1150,2370,9.43,167,194,437,526,874,982,1040,1050,529,295,161,332,248,12900,2760,12300,2480,10100,1950,3160,932,1370,663,350
"MN4_7710_8161",1170,71.1,251,373,534,919,690,454,218,156,77.1,89,67.3,1620,1980,2400,1720,985,564,373,660,1260,585,828,1110,3.61,37.9,4.08,39,4.93,40.5,13.1,66.1,54.9,227,13.6,2002,24.4,47.8,582,3970,9860,45.3,525,679,1490,1770,3630,3970,6040,3730,2100,1030,682,826,650,37800,12500,34800,11100,23800,7380,7750,3340,4810,2270,1170
"MN2_7720_7830",102,4.84,16.1,20.7,35.9,64.1,57.3,34.7,21.4,11.3,5.29,6.43,5.11,142,170,214,144,88.4,46,31.8,66.6,104,48.6,75.2,96.8,0.0301,1.51,0.0337,1.78,0.0424,2.4,0.465,5.3,5.07,18.8,0.376,2002,1.12,3.87,43.7,314,972,3.61,39.8,74,156,200,341,402,1080,360,236,53.4,56.6,63.8,66.3,12900,2470,4770,1220,2310,698,707,326,444,207,102
"MN1_7730_8160",111,4.63,29.2,33,66.5,92.2,74.6,38.2,19.2,9.13,4.51,7.83,5.28,161,188,218,158,88.4,51.8,36.5,67.7,137,63.2,67.6,104,0.0257,1.62,0.0336,1.74,0.0597,2.21,0.712,5.84,5.51,18.8,0.321,2002,0.913,2.85,61.9,368,740,2.19,52.7,45.8,110,134,328,380,370,374,207,88.7,58.5,84.6,72.1,5910,1270,5390,1120,3940,662,1170,313,424,201,111
"MN3_7770_7930",294,15.3,50.4,65.3,118,217,170,122,67.2,41.8,20.8,23.7,20.9,396,505,639,435,263,158,99.8,144,260,137,246,268,0,8.92,-1.45e-15,9.41,0.0145,11.9,1.85,27.7,14,52.7,0.767,2002,3.97,14.5,139,926,2770,14.6,127,159,595,493,1170,1410,2600,1250,688,166,236,202,156,26800,6350,11200,3820,6260,2040,1720,914,1270,541,294
"MN4_7810_8080",108,5.78,30.8,31,63.6,87.2,68.7,41.9,32,13.4,6.6,10.5,6.71,149,181,201,149,88.2,57.4,42.4,69.5,136,66.2,66.1,98.8,0.0318,2.19,0.0426,2.48,0.0808,2.92,0.964,7.66,6.02,23.7,0.535,2002,1.45,4.2,65.8,338,676,3.2,54.6,49.7,112,136,265,353,327,331,175,110,62.4,92.4,81.1,6610,1130,5840,915,4160,562,1240,292,441,188,108
"MN2_7830_7950",229,12.2,40.6,55.8,86.7,150,129,79.9,43.8,25.2,12.1,16.8,12.5,320,384,475,326,196,103,70.5,139,250,112,165,218,0.0883,4.34,0.101,5.01,0.138,6.63,1.35,12.1,11.4,42.8,1.11,2002,3.34,9.48,104,747,2260,9.11,93.6,130,301,403,786,887,1620,878,459,136,132,134,157,18900,4250,10200,2630,5000,1540,1460,716,982,458,229
"MN3_7860_8080",512,22.5,115,148,283,406,322,186,122,41.3,24.1,39.5,24.7,710,859,917,693,408,260,195,374,618,313,333,487,0.693,9.06,0.806,9.85,1.11,11.5,4.92,27,24.9,106,3.37,1993,7.17,15.7,308,1640,3300,15.2,251,260,617,750,1150,1430,1350,1530,765,481,248,404,363,19100,4110,18300,3660,15100,2590,4940,1400,1980,961,512
"MN3_7930_8010",535,29.1,109,150,244,390,298,223,115,80.1,36.5,40.7,32.5,731,911,1130,792,456,270,185,283,528,257,410,498,0.666,18.7,0.745,19.4,1.18,22.9,4.8,39.6,23.6,97.4,4.64,2002,11,23.2,255,1900,4840,23,235,218,760,861,1950,1970,3020,2180,974,313,277,511,295,24600,6230,18500,5590,11000,3620,3030,1560,2200,1070,535
"MN4_7950_7710",789,46.5,158,221,340,589,448,325,153,106,53.9,62.2,49.5,1090,1340,1650,1160,671,384,262,435,810,382,590,740,0.887,24,1.14,25.6,1.64,31.3,7.34,53.2,36.2,145,6.54,2002,15.2,36,375,2760,6890,35.9,340,356,1020,1310,2880,2860,4670,3050,1440,657,439,629,464,39700,10500,29500,8150,16400,5210,4670,2320,3280,1620,789
"MN1_7990_8100",46.6,2.86,8.29,12.1,18.7,31.7,29.5,19.5,11.6,6.41,3.1,2.4,2.54,62.7,82,103,71.4,41.7,26.7,13.6,19.2,40.2,22.6,36.6,42.4,0.0797,1.72,0.0839,1.77,0.0979,2.05,0.317,3.71,2.08,6.93,0.275,2002,0.555,2.08,20.9,143,473,1.62,20.1,29.3,98.5,94.7,184,191,441,192,82.3,24.3,31.5,27.1,23.4,3290,1240,1580,671,952,357,328,145,220,88.5,46.6
"MN3_8010_7950",548,29.9,112,158,250,399,309,227,116,81,37.8,42.1,33.5,750,933,1160,811,466,276,189,291,544,264,418,511,0.738,18.6,0.968,19.5,1.38,23.6,5.05,39.6,24.2,100,4.92,2002,11.3,23.6,262,1940,4890,23.6,242,232,782,883,1910,1990,3090,2170,965,375,277,529,308,24500,6380,18800,5680,11200,3700,3150,1590,2250,1110,548
"MN4_8080_8110",650,22.4,159,155,340,513,451,241,175,53.3,23.3,37.8,23.9,895,1100,1180,887,519,328,245,464,796,400,413,611,0,5.17,-4.9e-13,7.37,0.049,12.4,3.91,34.6,30.3,131,0.408,2002,4.22,15,384,2090,4240,16.7,318,307,813,932,1460,1900,1630,1900,939,619,318,589,446,26200,5300,25000,4650,20300,3280,6650,1770,2530,1220,650
"MN2_8100_8190",131,8.51,22.7,34.2,53,88.3,82.4,54,31.5,18.2,9.7,7.39,6.5,177,231,289,201,117,74.4,37.6,55.1,113,63.7,103,120,0.16,4.4,0.167,4.76,0.196,5.57,0.871,11.1,5.56,19.5,0.74,2002,1.58,5.86,58.2,419,1330,4.68,55.9,76.8,280,266,515,594,1150,538,231,66.4,84.3,79.8,56.5,9840,3380,4440,1940,2670,973,922,411,620,250,131
"MN5_8161_8160",1410,89.2,319,460,679,1110,812,547,287,189,101,116,85.5,1960,2390,2880,2070,1180,687,467,816,1560,725,977,1330,4.47,46.3,4.91,48.2,6.03,50.8,17.1,78.4,68,290,17.6,2002,31.7,62,712,4810,12000,57.3,646,898,1910,2100,4390,5020,6860,4430,2570,1140,744,1030,889,49600,14900,45800,13200,32600,8620,10400,3930,5710,2650,1410
"MN3_8190_8260",503,51.7,95.4,136,226,334,304,219,134,89,61.4,47.8,51.6,663,839,1050,771,450,302,175,237,464,264,385,458,8.26,32.9,8.36,34.7,8.83,38.5,12,57.2,28.6,91.9,13.9,2002,17.1,37.9,249,1700,4380,32.6,233,314,1100,1150,1680,1530,2660,2520,695,265,314,437,311,15400,6320,12700,5220,8970,3410,3210,1410,2170,953,503
"MN5_8230_8161",219,14.4,55,63.8,117,166,122,79.6,50.4,25.8,14.4,21.7,15.1,312,366,434,308,168,104,84,141,262,122,135,199,0.311,7.05,0.365,7.31,0.517,8.15,2.8,13.5,11.5,41.6,1.98,2002,4.1,9.5,114,737,1620,7.84,101,146,306,325,619,926,884,719,395,185,133,174,133,12900,2900,11300,2010,7680,1260,2310,646,826,363,219
"NR6_7960_8050",4640,1340,1450,2690,2910,4450,4870,2520,1920,2520,3890,2550,1670,5330,6350,7080,5670,4090,4520,4640,3940,3260,3320,3510,4030,992,1120,992,1130,993,1180,1010,1390,1160,2260,1020,2002,1060,1230,3710,11700,17400,1310,3730,2650,2830,4450,10300,7750,9270,7390,7940,5590,5390,4870,3220,31400,19300,29000,17700,23700,15600,16900,10900,12700,7670,4640
"NR1_8030_8051",61.4,5.74,11.4,22.1,32.3,37.8,47.3,35.3,23,9.27,3.89,2.9,3.55,80.5,115,110,86.6,78.3,46.8,21.7,22.1,44.8,28.9,50.4,55.9,0.00336,0.801,0.00342,0.949,0.00364,1.23,0.0659,4.32,6.55,14,0.0787,1991,0.344,2.67,33.1,189,586,1.33,27.6,38,130,131,392,402,468,239,441,117,37,56.9,46.7,2520,1070,1330,529,706,348,358,159,215,108,61.4
"NR6_8050_8051",4630,1250,1350,2620,2880,4420,4840,2530,1900,2450,3790,2470,1570,5350,6410,7140,5710,4110,4500,4570,3880,3220,3270,3490,4020,895,1030,896,1040,897,1080,911,1310,1090,2220,925,2002,963,1150,3680,11800,17700,1220,3680,2620,2780,4500,10600,8160,9400,7670,7970,5660,5440,4820,3160,33400,20200,30100,18100,24400,15900,17300,11000,12900,7700,4630
"NR6_8051_8000",5010,1310,1420,2740,3170,4790,5060,2890,2170,2630,3860,2540,1600,5880,7130,7850,6240,4540,4800,4740,4040,3430,3470,3760,4400,896,1060,896,1070,898,1130,918,1360,1150,2370,926,2002,976,1210,3930,12900,19600,1250,3900,2690,3140,5750,12300,10300,11800,8750,9540,6590,5510,4950,3310,41300,23300,34800,20400,27100,16900,19200,11800,14200,8200,5010
"NR6_8170_7960",364,34.8,87.7,139,192,292,335,230,139,83.7,38,45.1,39.2,495,660,677,519,424,315,178,156,190,189,244,342,1.74,11.1,1.92,11.6,2.43,13.3,6.97,32.1,23.5,75.5,5.45,1988,10.3,23.5,224,1140,2500,18.5,203,135,365,576,1490,1220,1770,1140,1250,640,222,174,182,7480,3860,5150,2700,2970,1850,1750,903,1220,665,364
"NR6_8180_8051",309,32,77.6,104,178,210,274,185,102,45.3,19.5,26,21.3,440,587,577,421,341,245,141,130,157,161,217,314,0.012,3.37,0.0362,5.11,0.518,6.1,3.81,21.1,14.8,65.6,1.06,1988,3.31,12.9,183,985,2250,6.62,156,143,411,547,1670,1290,1770,943,851,530,170,197,151,6860,3790,4440,2390,2460,1720,1540,758,1040,603,309
"NR2_8210_8180",294,31.1,73.8,97.6,153,199,260,173,94.1,42.4,18.6,25,19.7,419,560,548,398,322,231,133,124,149,154,206,301,0,2.75,0.0105,4.64,0.448,5.66,3.54,20.8,14,61.8,0.955,1988,2.87,11.8,175,937,2140,6.15,148,137,400,522,1620,1250,1660,894,865,517,177,193,145,6620,3760,4150,2310,2370,1640,1480,719,989,577,294
"NR3_8290_8170",331,32,81,126,178,258,304,210,123,74.3,33.5,39.8,34.3,452,604,615,468,383,284,161,142,174,174,223,314,1.47,10,1.61,10.5,2.01,11.9,6.39,27.9,21.6,68.4,4.56,1988,8.87,21.3,204,1030,2300,16.8,182,125,350,537,1430,1210,1460,999,906,638,228,166,167,7340,3740,4610,2450,2630,1740,1610,821,1110,606,331
"NR3_8420_8430",367,80.2,114,189,197,325,355,240,205,169,123,109,93.2,447,575,650,560,378,343,216,199,250,213,286,310,11,51.7,11.2,53.2,11.8,57.6,18.2,78.5,47.5,126,26.3,2002,34,63.9,240,994,2210,59.4,240,200,480,468,964,915,1580,1060,718,442,347,222,243,9680,4150,5630,2830,3560,1780,1920,937,1340,644,367
"NR3_8430_7820",408,91.7,125,206,219,360,392,271,233,194,140,129,109,495,635,718,621,427,385,245,223,278,235,316,342,16.3,61.6,16.5,63.2,17.3,67.9,24.6,91.7,56.1,141,34.4,2002,42.1,75.3,267,1100,2420,71.2,268,220,511,514,1070,1040,1720,1380,782,508,396,249,273,10700,4820,6140,3140,3790,2010,2110,1040,1460,712,408
"NR6_8500_7820",3510,1110,1200,2210,2190,3130,3580,1320,1000,1850,3510,2190,1440,3930,4490,5060,3960,2800,3510,4040,3370,2570,2710,2710,3030,1000,1000,1000,1000,1000,1000,1000,1030,1000,1810,1010,2001,1000,1000,2880,8560,12500,1110,2960,2000,2370,3250,6490,4920,6330,3890,3670,4160,4680,4070,2260,15700,12400,15600,12100,15000,10900,11500,8100,8940,5950,3510
"NR2_8600_8700",262,42.7,43,65,133,235,270,201,185,147,97.6,64.3,40,296,439,483,423,319,252,176,140,150,134,150,193,15.1,30.2,15.3,31,16,32.5,18.6,42.6,28.5,73,18.5,1999,21.5,31.1,161,724,1840,35,171,109,145,301,962,801,1010,910,616,429,228,166,136,8310,3550,4690,2240,2670,1340,1420,623,940,494,262
