"","staid","name","seg","DAsqmi"
"170",1668000,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA","RL5_6070_0000",1595
"171",1668500,"CAT POINT CREEK NEAR MONTROSS, VA","RL1_6322_0000",45.6
"172",1669000,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA","RL5_6320_0000",27.9
"173",1670400,"NORTH ANNA RIVER NEAR PARTLOW, VA","YP3_6330_6700",342
"174",1671020,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA","YP3_6700_6670",462
"175",1671100,"LITTLE RIVER NEAR DOSWELL, VA","YP1_6570_6680",107
"176",1672500,"SOUTH ANNA RIVER NEAR ASHLAND, VA","YP3_6690_6720",395
"177",1673000,"PAMUNKEY RIVER NEAR HANOVER, VA","YP4_6750_0001",1078
"178",1673550,"TOTOPOTOMOY CREEK NEAR STUDLEY, VA","YP0_6840_0001",25.5
"179",1674000,"MATTAPONI RIVER NEAR BOWLING GREEN, VA","YM3_6430_6620",256
"180",1674500,"MATTAPONI RIVER NEAR BEULAHVILLE, VA","YM4_6620_0001",603
"181",2011400,"JACKSON RIVER NEAR BACOVA, VA","JU3_6380_6900",157
"182",2011460,"BACK CREEK NEAR SUNRISE, VA","JU1_6590_6600",60.9
"183",2011470,"BACK CREEK AT SUNRISE, VA","JU1_6590_6600",75.6
"184",2011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA","JU2_6600_6810",134
"185",2011800,"JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA","JU3_6900_6950",345
"186",2013000,"DUNLAP CREEK NEAR COVINGTON, VA","JU2_7140_7330",162
"187",2013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGTON, VA","JU4_7330_7000",612
"188",2014000,"POTTS CREEK NEAR COVINGTON, VA","JU2_7360_7000",153
"189",2015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA","JU1_6300_6650",110
"190",2016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA","JU3_6650_7300",461
"191",2016500,"JAMES RIVER AT LICK RUN, VA","JU5_7300_7510",1371
"192",2017500,"JOHNS CREEK AT NEW CASTLE, VA","JU1_7630_7490",105
"193",2018000,"CRAIG CREEK AT PARR, VA","JU3_7400_7510",329
"194",2018500,"CATAWBA CREEK NEAR CATAWBA, VA","JU1_7560_7500",34.3
"195",2019500,"JAMES RIVER AT BUCHANAN, VA","JU5_7420_7160",2073
"196",2020500,"CALFPASTURE RIVER ABOVE MILL CREEK AT GOSHEN, VA","JU2_6410_6640",141
"197",2021500,"MAURY RIVER AT ROCKBRIDGE BATHS, VA","JU3_6790_7260",329
"198",2024000,"MAURY RIVER NEAR BUENA VISTA, VA","JU4_7260_7380",647
"199",2025500,"JAMES RIVER AT HOLCOMB ROCK, VA","JL6_7160_7440",3256
"200",2026000,"JAMES RIVER AT BENT CREEK, VA","JL6_7430_7320",3649
"201",2027000,"TYE RIVER NEAR LOVINGSTON, VA","JL1_7200_7250",93
"202",2027500,"PINEY RIVER AT PINEY RIVER, VA","JL1_7190_7250",47.7
"203",2027800,"BUFFALO RIVER NEAR TYE RIVER, VA","JL2_7350_7090",148
"204",2028500,"ROCKFISH RIVER NEAR GREENFIELD, VA","JL2_6850_6890",94.8
"205",2029000,"JAMES RIVER AT SCOTTSVILLE, VA","JL6_6890_6990",4581
"206",2030000,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE, VA","JL1_6910_6960",116
"207",2030500,"SLATE RIVER NEAR ARVONIA, VA","JL2_7120_6970",226
"208",2031000,"MECHUMS RIVER NEAR WHITE HALL, VA","JL1_6560_6440",95.3
"209",2032515,"S F RIVANNA RIVER NEAR CHARLOTTESVILLE, VA","JL2_6441_6520",259
"210",2032680,"N F RIVANNA RIVER NEAR PROFFIT, VA","JL2_6240_6520",174
"211",2034000,"RIVANNA RIVER AT PALMYRA, VA","JL4_6710_6740",663
"212",2035000,"JAMES RIVER AT CARTERSVILLE, VA","JL7_7030_6800",6252
"213",2037000,"JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA","JL7_6800_7070",66.6
"214",2037500,"JAMES RIVER NEAR RICHMOND, VA","JB7_7070_0001",6753
"215",2039500,"APPOMATTOX RIVER AT FARMVILLE, VA","JA2_7550_7280",302
"216",2040000,"APPOMATTOX RIVER AT MATTOAX, VA","JA4_7340_7470",725
"217",2041000,"DEEP CREEK NEAR MANNBORO, VA","JA2_7570_7480",158
"218",2041650,"APPOMATTOX RIVER AT MATOACA, VA","JA5_7520_0000",1342
"219",2042500,"CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE, VA","JB3_6820_7053",251
"220",1485000,"POCOMOKE RIVER NEAR WILLARDS, MD","EL2_5270_0001",60.5
"221",1658000,"MATTAWOMAN CREEK NEAR POMONKEY, MD","PL0_5450_0000",54.8
"222",1610155,"SIDELING HILL CREEK NEAR BELLEGROVE, MD","PU1_3100_3690",102
"223",1621410,"BLACKS RUN AT RT 726 AT HARRISONBURG, VA","PS0_6150_6160",10.9
"236",1594526,"WESTERN BRANCH AT UPPER MARLBORO MD","XL1_4690_0001",89.7
"237",1646580," ","PL7_4910_0000",11570
"238",1576540,"MILL CREEK AT ESHELMAN MILL ROAD NEAR LYNDON, PA","SL1_2390_2420",54.2
