FID,FID_P5CALI,AREA_,PERIMETER,ALLSITES_,ALLSITES_I,STAID,NAME,POLYGONID,SCALE,ANGLE,FID_P5RIVE,MAJOR,MINOR,UNIQID,DSID,FLOW,CATCODE2,TIDALWATER,TTB03,TSB03,MAJMIN
15,16,0,0,16,16,01512500,CHENANGO RIVER NEAR CHENANGO FORKS NY,0,1,1,1107,S,U,420,500,5,SU5_0420_0500,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
16,17,0,0,17,17,01515000,SUSQUEHANNA RIVER NEAR WAVERLY NY,0,1,1,1145,S,U,720,750,7,SU7_0720_0750,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
17,18,0,0,18,18,01516350,"TIOGA RIVER NEAR MANSFIELD, PA",0,1,1,1161,S,U,830,831,2,SU2_0830_0831,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
18,19,0,0,19,19,01518000,"TIOGA RIVER AT TIOGA, PA",0,1,1,1162,S,U,831,790,3,SU3_0831_0790,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
19,20,0,0,20,20,01518700,"TIOGA RIVER AT TIOGA JUNCTION, PA",0,1,1,1154,S,U,770,690,3,SU3_0770_0690,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
20,21,0,0,21,21,01518862,"COWANESQUE RIVER AT WESTFIELD, PA",0,1,1,1148,S,U,740,741,2,SU2_0740_0741,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
21,22,0,0,22,22,01520000,"COWANESQUE RIVER NR LAWRENCEVILLE, PA",0,1,1,1150,S,U,741,690,2,SU2_0741_0690,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
22,23,0,0,23,23,01520500,TIOGA RIVER AT LINDLEY NY,0,1,1,1142,S,U,690,650,4,SU4_0690_0650,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
23,24,0,0,24,26,01524500,CANISTEO R BELOW CANACADEA CR @ HORNELL NY,0,1,1,1127,S,U,570,580,2,SU2_0570_0580,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
24,25,0,0,25,27,01526500,TIOGA RIVER NEAR ERWINS NY,0,1,1,1137,S,U,650,530,5,SU5_0650_0530,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
25,26,0,0,26,29,01529500,COHOCTON RIVER NEAR CAMPBELL NY,0,1,1,1102,S,U,370,490,3,SU3_0370_0490,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
26,27,0,0,27,30,01529950,CHEMUNG RIVER AT CORNING NY,0,1,1,1121,S,U,530,610,5,SU5_0530_0610,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
27,28,0,0,28,32,01531000,CHEMUNG RIVER AT CHEMUNG NY,0,1,1,1130,S,U,600,750,5,SU5_0600_0750,N,"NY, Chemung River","NY, North Susquehanna and Chemung",SU
28,29,0,0,29,33,01531500,"SUSQUEHANNA RIVER AT TOWANDA, PA",0,1,1,1164,S,U,850,730,7,SU7_0850_0730,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
29,30,0,0,30,34,01532000,"TOWANDA CREEK NEAR MONROETON, PA",0,1,1,1166,S,U,870,730,3,SU3_0870_0730,N,"PA, Susq, Wappasening Creek and Chemung Rive","PA, Susq, Wappasening Creek and Chemung Rive",SU
30,31,0,0,31,35,01533400,"SUSQUEHANNA RIVER AT MESHOPPEN, PA",0,1,1,1173,S,U,960,950,7,SU7_0960_0950,N,"PA, Susq, Great Bend Susquehanna River","PA, Susq, Great Bend Susquehanna River",SU
31,32,0,0,32,36,01534000,"TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA",0,1,1,1169,S,U,910,1010,3,SU3_0910_1010,N,"PA, Susq, Great Bend Susquehanna River","PA, Susq, Great Bend Susquehanna River",SU
32,33,0,0,33,37,01534300,"LACKAWANNA RIVER NEAR FOREST CITY, PA.",0,1,1,1139,S,U,670,810,2,SU2_0670_0810,N,"PA, Susq, Lackawanna Creek","PA, Susq, Lackawanna Creek",SU
33,34,0,0,34,38,01534500,"LACKAWANNA RIVER AT ARCHBALD, PA.",0,1,1,1174,S,U,970,1120,3,SU3_0970_1120,N,"PA, Susq, Lackawanna Creek","PA, Susq, Lackawanna Creek",SU
34,35,0,0,35,39,01536000,"LACKAWANNA RIVER AT OLD FORGE, PA.",0,1,1,1174,S,U,970,1120,3,SU3_0970_1120,N,"PA, Susq, Lackawanna Creek","PA, Susq, Lackawanna Creek",SU
35,36,0,0,36,40,01536500,"SUSQUEHANNA RIVER AT WILKES-BARRE, PA",0,1,1,1180,S,U,1120,1140,7,SU7_1120_1140,N,"PA, Susq, Toby and Wapwallopen Creeks","PA, Susq, Toby and Wapwallopen Creeks",SU
36,37,0,0,37,41,01539000,"FISHING CREEK NEAR BLOOMSBURG, PA.",0,1,1,1184,S,U,1280,1590,3,SU3_1280_1590,N,"PA, Susq, Fishing Creek","PA, Susq, Fishing Creek",SU
37,38,0,0,38,42,01540500,"SUSQUEHANNA RIVER AT DANVILLE, PA",0,1,1,1191,S,U,1530,1760,8,SU8_1530_1760,N,"PA, Susq, Fishing Creek","PA, Susq, Fishing Creek",SU
38,39,0,0,39,43,01541000,"WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA",0,1,1,1262,S,W,1860,1720,4,SW4_1860_1720,N,"PA, Susq, Moshanna and Mosquito Creeks","PA, Susq, Moshanna and Mosquito Creeks",SW
39,40,0,0,40,44,01541200,"WB SUSQUEHANNA RIVER NEAR CURWENSVILLE, PA",0,1,1,1256,S,W,1720,1650,4,SW4_1720_1650,N,"PA, Susq, Moshanna and Mosquito Creeks","PA, Susq, Moshanna and Mosquito Creeks",SW
40,41,0,0,41,45,01541303,"WEST BRANCH SUSQUEHANNA RIVER AT HYDE, PA",0,1,1,1256,S,W,1720,1650,4,SW4_1720_1650,N,"PA, Susq, Moshanna and Mosquito Creeks","PA, Susq, Moshanna and Mosquito Creeks",SW
41,42,0,0,42,46,01541500,"CLEARFIELD CREEK AT DIMELING, PA",0,1,1,1260,S,W,1800,1650,3,SW3_1800_1650,N,"PA, Susq, Moshanna and Mosquito Creeks","PA, Susq, Moshanna and Mosquito Creeks",SW
42,43,0,0,43,47,01542000,"MOSHANNON CREEK AT OSCEOLA MILLS, PA.",0,1,1,1257,S,W,1750,1540,3,SW3_1750_1540,N,"PA, Susq, Moshanna and Mosquito Creeks","PA, Susq, Moshanna and Mosquito Creeks",SW
43,44,0,0,44,48,01542500,"WB SUSQUEHANNA RIVER AT KARTHAUS, PA",0,1,1,1244,S,W,1540,1400,5,SW5_1540_1400,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
44,45,0,0,45,49,01543000,"DRIFTWOOD BR SINNEMAHONING CR AT STERLING RUN, PA",0,1,1,1224,S,W,1270,1370,3,SW3_1270_1370,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
45,46,0,0,46,50,01543500,"SINNEMAHONING CREEK AT SINNEMAHONING, PA",0,1,1,1236,S,W,1430,1490,4,SW4_1430_1490,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
46,47,0,0,47,51,01544000,"F FORK SINNEMAHONING CR NR SINNEMAHONING, PA",0,1,1,1232,S,W,1380,1490,3,SW3_1380_1490,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
47,48,0,0,48,52,01544500,"KETTLE CREEK AT CROSS FORK, PA",0,1,1,1211,S,W,1100,1130,2,SW2_1100_1130,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
48,49,0,0,49,53,01545000,"KETTLE CREEK NEAR WESTPORT, PA",0,1,1,1233,S,W,1390,1330,3,SW3_1390_1330,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
49,50,0,0,50,54,01545500,"WEST BRANCH SUSQUEHANNA RIVER AT RENOVO, PA",0,1,1,1220,S,W,1230,1440,6,SW6_1230_1440,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
50,51,0,0,51,55,01546400,"SPRING CREEK AT HOUSERVILLE, PA",0,1,1,1265,S,W,1890,1830,1,SW1_1890_1830,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
51,52,0,0,52,56,01546500,"SPRING CREEK NEAR AXEMANN, PA.",0,1,1,1261,S,W,1830,1690,1,SW1_1830_1690,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
52,53,0,0,53,57,01547100,"SPRING CREEK AT MILESBURG, PA",0,1,1,1261,S,W,1830,1690,1,SW1_1830_1690,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
53,54,0,0,54,58,01547200,"BALD EAGLE CREEK BL SPRING CREEK AT MILESBURG, PA",0,1,1,1255,S,W,1690,1660,3,SW3_1690_1660,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
54,55,0,0,55,59,01547500,"BALD EAGLE CREEK AT BLANCHARD, PA",0,1,1,1253,S,W,1660,1580,3,SW3_1660_1580,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
55,56,0,0,56,60,01547950,"BEECH CREEK AT MONUMENT, PA",0,1,1,1243,S,W,1520,1600,0,SW0_1520_1600,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
56,57,0,0,57,61,01548005,"BALD EAGLE CREEK NEAR BEECH CREEK STATION, PA",0,1,1,1249,S,W,1580,1440,3,SW3_1580_1440,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SW
57,58,0,0,58,62,01548500,"PINE CREEK AT CEDAR RUN, PA",0,1,1,1212,S,W,1110,1150,4,SW4_1110_1150,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
58,59,0,0,59,64,01549700,"PINE CREEK BL L PINE CREEK NEAR WATERVILLE, PA",0,1,1,1229,S,W,1350,1470,5,SW5_1350_1470,N,"PA, Susq, Susquhannock and Pine Creeks","PA, Susq, Susquhannock and Pine Creeks",SW
59,60,0,0,60,65,01550000,"LYCOMING CREEK NEAR TROUT RUN, PA",0,1,1,1219,S,W,1220,1320,3,SW3_1220_1320,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
60,61,0,0,61,66,01551500,"WB SUSQUEHANNA RIVER AT WILLIAMSPORT, PA",0,1,1,1226,S,W,1320,1300,7,SW7_1320_1300,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
61,62,0,0,62,67,01552000,"LOYALSOCK CREEK AT LOYALSOCKVILLE, PA",0,1,1,1223,S,W,1260,1300,4,SW4_1260_1300,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
62,63,0,0,63,68,01552500,"MUNCY CREEK NEAR SONESTOWN, PA",0,1,1,1218,S,W,1190,1410,2,SW2_1190_1410,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
63,64,0,0,64,69,01553500,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA",0,1,1,1251,S,W,1640,1680,7,SW7_1640_1680,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
64,65,0,0,65,70,01553700,"CHILLISQUAQUE CREEK AT WASHINGTONVILLE, PA",0,1,1,1242,S,W,1510,1680,1,SW1_1510_1680,N,"PA, Susq, Antes and Lycoming Creeks","PA, Susq, Antes and Lycoming Creeks",SW
65,66,0,0,66,71,01554000,"SUSQUEHANNA RIVER AT SUNBURY, PA",0,1,1,983,S,L,1760,1780,8,SL8_1760_1780,N,"PA, Susq, Fishing Creek","PA, Susq, Fishing Creek",SL
66,67,0,0,67,72,01554500,"SHAMOKIN CREEK NEAR SHAMOKIN, PA",0,1,1,975,S,L,1700,1780,1,SL1_1700_1780,N,"PA, Susq, Fishing Creek","PA, Susq, Fishing Creek",SL
67,68,0,0,68,73,01555000,"PENNS CREEK AT PENNS CREEK, PA",0,1,1,980,S,L,1740,1840,3,SL3_1740_1840,N,"PA, Susq, Bald Eagle Creek","PA, Susq, Bald Eagle Creek",SL
68,69,0,0,69,74,01555500,"EAST MAHANTANGO CREEK NEAR DALMATIA, PA",0,1,1,988,S,L,1810,2030,2,SL2_1810_2030,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
69,70,0,0,70,75,01556000,"FRANKSTOWN BR JUNIATA RIVER AT WILLIAMSBURG, PA",0,1,1,958,S,J,2230,2060,3,SJ3_2230_2060,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
70,71,0,0,71,77,01558000,"LITTLE JUNIATA RIVER AT SPRUCE CREEK, PA",0,1,1,944,S,J,1980,2060,3,SJ3_1980_2060,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
71,72,0,0,72,78,01559000,"JUNIATA RIVER AT HUNTINGDON, PA",0,1,1,946,S,J,2010,2210,4,SJ4_2010_2210,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
72,73,0,0,73,79,01560000,"DUNNING CREEK AT BELDEN, PA",0,1,1,972,S,J,2820,2740,2,SJ2_2820_2740,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
73,74,0,0,74,80,01562000,"RAYSTOWN BRANCH JUNIATA RIVER AT SAXTON, PA",0,1,1,964,S,J,2360,2340,4,SJ4_2360_2340,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
74,75,0,0,75,81,01563200,"RAYS BR JUNIATA R BLW RAYS DAM NR HUNTINGDON, PA.",0,1,1,964,S,J,2360,2340,4,SJ4_2360_2340,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
75,76,0,0,76,82,01563500,"JUNIATA RIVER AT MAPLETON DEPOT, PA",0,1,1,962,S,J,2320,2120,5,SJ5_2320_2120,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
76,77,0,0,77,83,01564500,"AUGHWICK CREEK NEAR THREE SPRINGS, PA",0,1,1,969,S,J,2580,2500,2,SJ2_2580_2500,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
77,78,0,0,78,84,01567000,"JUNIATA RIVER AT NEWPORT, PA",0,1,1,954,S,J,2150,2130,2,SJ2_2150_2130,N,"PA, Susq, Juniata River","PA, Susq, Juniata River",SJ
78,79,0,0,79,85,01568000,"SHERMAN CREEK AT SHERMANS DALE, PA",0,1,1,1015,S,L,2290,2260,3,SL3_2290_2260,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
79,80,0,0,80,87,01570000,"CONODOGUINET CREEK NEAR HOGESTOWN, PA",0,1,1,1019,S,L,2330,2270,4,SL4_2330_2270,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
80,81,0,0,81,88,01570500,"SUSQUEHANNA RIVER AT HARRISBURG, PA",0,1,1,1011,S,L,2270,2380,9,SL9_2270_2380,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
81,82,0,0,82,89,01571500,"YELLOW BREECHES CREEK NEAR CAMP HILL, PA",0,1,1,1030,S,L,2440,2380,3,SL3_2440_2380,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
82,83,0,0,83,90,01572025,"SWATARA CREEK NEAR PINE GROVE, PA",0,1,1,994,S,L,1990,2070,2,SL2_1990_2070,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
83,84,0,0,84,91,01572190,"SWATARA CREEK NEAR INWOOD, PA",0,1,1,994,S,L,1990,2070,2,SL2_1990_2070,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
84,85,0,0,85,92,01573000,"SWATARA CREEK AT HARPER TAVERN, PA",0,1,1,1001,S,L,2090,2100,4,SL4_2090_2100,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
85,86,0,0,86,93,01573160,"QUITTAPAHILLA CREEK NEAR BELLEGROVE, PA",0,1,1,1007,S,L,2220,2140,0,SL0_2220_2140,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
86,87,0,0,87,94,01573560,"SWATARA CREEK NEAR HERSHEY, PA",0,1,1,1008,S,L,2240,2310,4,SL4_2240_2310,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
87,88,0,0,88,95,01574000,"WEST CONEWAGO CREEK NEAR MANCHESTER, PA",0,1,1,1032,S,L,2460,2430,3,SL3_2460_2430,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
88,89,0,0,89,96,01574500,"CODORUS CREEK AT SPRING GROVE, PA",0,1,1,1053,S,L,2760,2730,1,SL1_2760_2730,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
89,90,0,0,90,97,01575000,"SOUTH BRANCH CODORUS CREEK NEAR YORK, PA",0,1,1,1054,S,L,2770,2730,1,SL1_2770_2730,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
90,91,0,0,91,98,01575500,"CODORUS CREEK NEAR YORK, PA",0,1,1,1041,S,L,2550,2490,3,SL3_2550_2490,N,"PA, Susquehanna, Lower West","PA, Susquehanna, Lower West",SL
91,92,0,0,92,99,01576000,"SUSQUEHANNA RIVER AT MARIETTA, PA",0,1,1,1036,S,L,2490,2520,9,SL9_2490_2520,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
92,93,0,0,93,100,01576500,"CONESTOGA RIVER AT LANCASTER, PA",0,1,1,1033,S,L,2470,2420,3,SL3_2470_2420,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
93,94,0,0,94,101,01576754,"CONESTOGA RIVER AT CONESTOGA, PA",0,1,1,1027,S,L,2420,2700,3,SL3_2420_2700,N,"PA, Susquehanna, Lower East","PA, Susquehanna, Lower East",SL
94,95,0,0,95,102,01578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",0,1,1,1062,S,L,2971,0,9,SL9_2971_0000,N,"MD, West Shore, Upper","MD, West Shore, Upper",SL
95,96,0,0,96,103,01580000,"DEER CREEK AT ROCKS, MD",0,1,1,1063,S,L,3060,1,2,SL2_3060_0001,N,"MD, West Shore, Upper","MD, West Shore, Upper",SL
96,97,0,0,97,104,01581700,"WINTERS RUN NEAR BENSON, MD",0,1,1,1381,W,U,3331,3330,1,WU1_3331_3330,N,"MD, West Shore, Upper","MD, West Shore, Upper",WU
97,98,0,0,98,106,01582500,"GUNPOWDER FALLS AT GLENCOE, MD",0,1,1,1379,W,U,3320,3480,2,WU2_3320_3480,N,"MD, West Shore, Upper","MD, West Shore, Upper",WU
98,99,0,0,99,107,01583500,"WESTERN RUN AT WESTERN RUN, MD",0,1,1,1386,W,U,3490,3480,1,WU1_3490_3480,N,"MD, West Shore, Upper","MD, West Shore, Upper",WU
99,100,0,0,100,112,01589000,"PATAPSCO RIVER AT HOLLOFIELD, MD",0,1,1,1361,W,M,4060,1,3,WM3_4060_0001,N,"MD, Patapsco/Back","MD, Patapsco/Back",WM
100,101,0,0,101,113,01589300,"GWYNNS FALLS AT VILLA NOVA, MD",0,1,1,1350,W,M,3910,1,1,WM1_3910_0001,N,"MD, Patapsco/Back","MD, Patapsco/Back",WM
101,102,0,0,102,114,01591000,"PATUXENT RIVER NEAR UNITY, MD",0,1,1,1436,X,U,4070,4330,2,XU2_4070_4330,N,"MD, Patuxent River","MD, Patuxent River",XU
102,103,0,0,103,116,01591610,"PATUXENT RIVER BELOW BRIGHTON DAM NEAR BRIGHTON,MD",0,1,1,1441,X,U,4330,4480,2,XU2_4330_4480,N,"MD, Patuxent River","MD, Patuxent River",XU
103,104,0,0,104,117,01592500,"PATUXENT R NR LAUREL, MD",0,1,1,1441,X,U,4330,4480,2,XU2_4330_4480,N,"MD, Patuxent River","MD, Patuxent River",XU
104,105,0,0,105,120,01594000,"LITTLE PATUXENT RIVER AT SAVAGE, MD",0,1,1,1440,X,U,4270,4650,2,XU2_4270_4650,N,"MD, Patuxent River","MD, Patuxent River",XU
105,106,0,0,106,121,01594440,"PATUXENT RIVER NEAR BOWIE, MD",0,1,1,1443,X,U,4650,1,3,XU3_4650_0001,N,"MD, Patuxent River","MD, Patuxent River",XU
106,107,0,0,107,122,01594670,"HUNTING CREEK NEAR HUNTINGTOWN, MD",0,1,1,1415,X,L,5320,1,0,XL0_5320_0001,N,"MD, Patuxent River","MD, Patuxent River",XL
107,108,0,0,108,123,01595000,"NORTH BRANCH POTOMAC RIVER AT STEYER, MD",0,1,1,887,P,U,4720,4750,2,PU2_4720_4750,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
108,109,0,0,109,124,01595200,"STONY RIVER NEAR MOUNT STORM,WV",0,1,1,892,P,U,4760,4450,1,PU1_4760_4450,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
109,110,0,0,110,125,01596500,"SAVAGE RIVER NEAR BARTON, MD",0,1,1,845,P,U,3850,4190,1,PU1_3850_4190,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
110,111,0,0,111,126,01597500,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",0,1,1,879,P,U,4300,4440,1,PU1_4300_4440,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
111,112,0,0,112,127,01598500,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",0,1,1,884,P,U,4440,3970,4,PU4_4440_3970,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
112,113,0,0,113,129,01601500,"WILLS CREEK NEAR CUMBERLAND, MD",0,1,1,830,P,U,3680,3890,3,PU3_3680_3890,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
113,114,0,0,114,130,01603000,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",0,1,1,862,P,U,3990,3780,4,PU4_3990_3780,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
114,115,0,0,115,131,01604500,"PATTERSON CREEK NEAR HEADSVILLE, WV",0,1,1,869,P,U,4160,3930,2,PU2_4160_3930,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
115,116,0,0,116,132,01605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",0,1,1,899,P,U,5620,5380,0,PU0_5620_5380,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
116,117,0,0,117,133,01606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",0,1,1,894,P,U,5050,4310,4,PU4_5050_4310,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
117,118,0,0,118,134,01607500,"SO FK SO BR POTOMAC R AT BRANDYWINE, WV",0,1,1,895,P,U,5190,4310,2,PU2_5190_4310,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
118,119,0,0,119,135,01608000,"SO FK SOUTH BRANCH POTOMAC R NR MOOREFIELD, WV",0,1,1,895,P,U,5190,4310,2,PU2_5190_4310,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
119,120,0,0,120,136,01608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",0,1,1,875,P,U,4210,4170,4,PU4_4210_4170,N,"WV, Potm, Potomac Valley Soil Consv District","WV, East Panhandle and Potomac Valley",PU
120,121,0,0,121,137,01610000,"POTOMAC RIVER AT PAW PAW, WV",0,1,1,848,P,U,3870,3690,6,PU6_3870_3690,N,"MD, Potomac, Upper","MD, Potomac, Upper",PU
