"","X","modelseg","modelda","gageID","gageDA","segs","totalarea","error"
"68",68,"PM7_4820_0001",0.546553016,1646502,11560,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+PS4_5080_4380+PS4_5840_5240+PS4_6230_6360+PS4_6360_5840+PS5_4370_4150+PS5_4380_4370+PS5_5200_4380+PS5_5240_5200+PU0_3000_3090+PU0_3601_3602+PU0_3611_3530+PU0_3751_3752+PU0_3871_3690+PU0_5620_5380+PU0_6080_5620+PU1_3030_3440+PU1_3100_3690+PU1_3170_3580+PU1_3580_3780+PU1_3850_4190+PU1_3940_3970+PU1_4190_4300+PU1_4300_4440+PU1_4760_4450+PU1_4840_4760+PU1_5380_5050+PU1_5520_5210+PU1_5820_5380+PU2_2790_3290+PU2_2840_3080+PU2_3080_3640+PU2_3090_4050+PU2_3140_3680+PU2_3180_3370+PU2_3370_4020+PU2_3630_3590+PU2_3770_3600+PU2_3900_3750+PU2_4050_4180+PU2_4160_3930+PU2_4220_3900+PU2_4340_3860+PU2_4360_4160+PU2_4720_4750+PU2_4730_4220+PU2_4750_4450+PU2_5190_4310+PU2_5700_5210+PU2_6050_5190+PU3_2510_3290+PU3_3290_3390+PU3_3390_3730+PU3_3680_3890+PU3_3860_3610+PU3_4280_3860+PU3_4450_4440+PU3_5210_5050+PU4_3780_3930+PU4_3890_3990+PU4_3970_3890+PU4_3990_3780+PU4_4210_4170+PU4_4310_4210+PU4_4440_3970+PU4_5050_4310+PU5_3930_4170+PU5_4170_4020+PU6_3440_3590+PU6_3530_3440+PU6_3590_3640+PU6_3600_3602+PU6_3602_3730+PU6_3610_3530+PU6_3640_3600+PU6_3690_3610+PU6_3730_3750+PU6_3750_3752+PU6_3752_4080+PU6_3870_3690+PU6_4020_3870+PU6_4080_4180+PU6_4180_4150",11574.790883778,-0.127948821609009
"69",69,"PS0_6150_6160",11.37849998,1621410,10.9,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",2207.507259906,-20152.3601826239
"70",70,"PS1_4830_5080",55.3451004,1634500,102,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",2397.833263956,-2250.81692544706
"71",71,"PS2_5560_5100",299.0950012,1632000,210,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",2906.799267356,-1284.19012731238
"72",72,"PS2_6420_6360",22.69510078,1627500,212,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",2929.494368136,-1281.83696610189
"73",73,"PS2_6490_6420",63.79270172,1626850,148,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",2993.287069856,-1922.49126341622
"74",74,"PS2_6730_6660",127.322998,1626000,127,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",3141.935467256,-2373.96493484724
"75",75,"PS3_5100_5080",264.7120056,1634000,770,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",3406.647472856,-342.421749721558
"76",76,"PS3_5100_5080",264.7120056,1633000,508,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",3406.647472856,-570.599896231496
"77",77,"PS3_6161_6280",9.024299622,1622000,376,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",3739.029774178,-894.422812281383
"78",78,"PS3_6460_6230",374.7090149,1625000,373,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA+NA",4157.903088088,-1014.71932656515
