"","gageno","gageda","modelsegs","upstDA","upstsegs","error"
"21",2024000,647,"JU3_6790_7260+JU1_6880_7260",647.8480072,"JU2_6410_6640 JU3_6640_6790 JU3_6790_7260 JU1_6880_7260",-0.131067573415763
"22",2013100,612,"JU2_7140_7330+JU3_6950_7330",613.739031871,"JU2_7140_7330 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330",-0.284155534477116
"23",2016500,1371,"JU4_7000_7300+JU3_6650_7300",1373.744722421,"JU2_7450_7360 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU1_6300_6650 JU1_6340_6650 JU3_6650_7300",-0.200198571918308
"24",2019500,2073,"JU5_7500_7420",2081.809339581,"JU1_7750_7560 JU1_7630_7490 JU1_7560_7500 JU1_6300_6650 JU1_7690_7490 JU2_7450_7360 JU1_6340_6650 JU3_7490_7400 JU3_7400_7510 JU3_6650_7300 JU2_7140_7330 JU2_7360_7000 JU1_6290_6590 JU3_6380_6900 JU1_6590_6600 JU2_6600_6810 JU2_6810_6900 JU3_6900_6950 JU3_6950_7330 JU4_7330_7000 JU4_7000_7300 JU5_7300_7510 JU5_7510_7500 JU5_7500_7420",-0.424956082054999
"25",1651000,49.4,"PL0_4510_0001",52.1405983,"PL0_4510_0001",-5.54776983805668
"30",1639500,102,"PM1_3120_3400",107.762001,"PM1_3120_3400",-5.64902058823529
"31",1644000,332,"PM3_4670_4660",331.956009,"PM2_4860_4670 PM3_4670_4660",0.0132503012048209
"33",1638500,9651,"PM7_4290_4200+PM1_4430_4200",9666.476553614,"PM1_3510_4000 PS1_4790_4830 PM1_4000_4290 PU0_3000_3090 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM1_4430_4200",-0.160362176085383
"34",1646500,11560,"PM7_4820_0001",11574.790883778,"PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001",-0.127948821608993
"35",1646500,11560,"PM7_4820_0001",11574.790883778,"PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001",-0.127948821608993
"36",1646502,11560,"PM7_4820_0001",11574.790883778,"PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001",-0.127948821608993
"37",1646502,11560,"PM7_4820_0001",11574.790883778,"PM0_4640_4820 PM1_4250_4500 PM2_4860_4670 PM1_4500_4580 PM1_3710_4040 PM3_4670_4660 PM1_4430_4200 PM1_3120_3400 PM3_4660_4620 PM2_2860_3040 PM1_3510_4000 PS1_4790_4830 PM1_3450_3400 PM1_4000_4290 PU0_3000_3090 PM2_3400_3340 PM3_3040_3340 PS2_6730_6660 PU0_3751_3752 PU2_3090_4050 PM4_3340_3341 PM4_3341_4040 PM4_4040_4410 PS2_5550_5560 PS1_4830_5080 PU2_4730_4220 PU2_4050_4180 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PU2_2790_3290 PU2_4220_3900 PU0_3601_3602 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PU3_2510_3290 PU2_3900_3750 PS3_5990_6161 PS2_6490_6420 PU2_3770_3600 PU2_2840_3080 PU3_3290_3390 PS0_6160_6161 PS2_6420_6360 PU3_3390_3730 PU2_3630_3590 PU2_3080_3640 PU1_3030_3440 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PS4_6360_5840 PS4_5840_5240 PU3_3860_3610 PU1_3100_3690 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PS5_4370_4150 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530 PU6_3530_3440 PU6_3440_3590 PU6_3590_3640 PU6_3640_3600 PU6_3600_3602 PU6_3602_3730 PU6_3730_3750 PU6_3750_3752 PU6_3752_4080 PU6_4080_4180 PU6_4180_4150 PM7_4150_4290 PM7_4290_4200 PM7_4200_4410 PM7_4410_4620 PM7_4620_4580 PM7_4580_4820 PM7_4820_0001",-0.127948821608993
"38",1627500,212,"PS2_6490_6420",212.44109912,"PS2_6730_6660 PS2_6660_6490 PS2_6490_6420",-0.208065622641505
"39",1626850,148,"PS2_6660_6490",148.6483974,"PS2_6730_6660 PS2_6660_6490",-0.438106351351347
"41",1634000,770,"PS2_5560_5100",773.678009,"PS2_5550_5560 PS2_5560_5100 PS3_5100_5080",-0.477663506493503
"42",1622000,376,"PS3_6161_6280",376.664701452,"PS0_6150_6160 PS3_5990_6161 PS0_6160_6161 PS3_6161_6280",-0.176782301063823
"43",1628500,1079,"PS4_6360_5840",1078.168615282,"PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840",0.0770514103799797
"44",1636500,3041,"PS5_4380_4370",3040.916936862,"PS1_4790_4830 PS2_6730_6660 PS2_5550_5560 PS1_4830_5080 PS0_6150_6160 PS2_5560_5100 PS3_5100_5080 PS2_6660_6490 PS4_5080_4380 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240 PS5_5240_5200 PS5_5200_4380 PS5_4380_4370",0.00273144156528766
"45",1631000,1634,"PS5_5240_5200",1637.823614082,"PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240 PS5_5240_5200",-0.234003309791932
"46",1629500,1372,"PS4_5840_5240",1375.563604282,"PS2_6730_6660 PS0_6150_6160 PS2_6660_6490 PS3_6460_6230 PS3_5990_6161 PS2_6490_6420 PS0_6160_6161 PS2_6420_6360 PS3_6161_6280 PS3_6280_6230 PS4_6230_6360 PS4_6360_5840 PS4_5840_5240",-0.259737921428582
"47",1597500,106,"PU1_4190_4300",104.80199813,"PU1_3850_4190 PU1_4190_4300",1.13019044339623
"48",1616500,273,"PU2_4220_3900",277.6140022,"PU2_4730_4220 PU2_4220_3900",-1.6901106959707
"49",1619500,281,"PU2_3090_4050",280.25470733,"PU0_3000_3090 PU2_3090_4050",0.265228708185063
"50",1607500,103,"PU2_6050_5190",112.5940018,"PU2_6050_5190",-9.31456485436893
"51",1608000,277,"PU2_5190_4310",289.3940049,"PU2_6050_5190 PU2_5190_4310",-4.47437000000001
"52",1614500,494,"PU3_3290_3390",502.42229466,"PU2_2790_3290 PU3_2510_3290 PU3_3290_3390",-1.70491794736843
"53",1601500,247,"PU3_3680_3890",253.7960892,"PU2_3140_3680 PU3_3680_3890",-2.75145311740891
"54",1611500,675,"PU3_3860_3610",681.93520735,"PU2_4340_3860 PU3_4280_3860 PU3_3860_3610",-1.02743812592593
"55",1603000,877,"PU4_3890_3990",877.07867175,"PU2_3140_3680 PU1_3940_3970 PU3_3680_3890 PU1_3850_4190 PU1_4840_4760 PU1_4190_4300 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990",-0.00897055302166616
"56",1608500,1461,"PU4_4310_4210",1465.49673094,"PU2_6050_5190 PU0_6080_5620 PU2_5190_4310 PU1_5520_5210 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210",-0.307784458590016
"57",1598500,406,"PU3_4450_4440+PU1_4300_4440",404.629660622,"PU1_4840_4760 PU2_4720_4750 PU1_4760_4450 PU2_4750_4450 PU3_4450_4440 PU1_3850_4190 PU1_4190_4300 PU1_4300_4440",0.337522014285724
"58",1606500,651,"PU3_5210_5050+PU1_5380_5050",651.52071004,"PU1_5520_5210 PU2_5700_5210 PU3_5210_5050 PU0_6080_5620 PU1_5820_5380 PU0_5620_5380 PU1_5380_5050",-0.0799861812596068
"59",1613000,4064,"PU0_3611_3530+PU6_3610_3530",4082.883157168,"PU0_3611_3530 PU2_4340_3860 PU0_3871_3690 PU3_4280_3860 PU3_3860_3610 PU1_3100_3690 PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870 PU6_3870_3690 PU6_3690_3610 PU6_3610_3530",-0.464644615354337
"60",1610000,3129,"PU6_4020_3870",3119.357749408,"PU2_3180_3370 PU2_6050_5190 PU2_3370_4020 PU2_4360_4160 PU0_6080_5620 PU1_3170_3580 PU2_4160_3930 PU2_5190_4310 PU1_5520_5210 PU2_3140_3680 PU1_3580_3780 PU1_3940_3970 PU1_5820_5380 PU0_5620_5380 PU2_5700_5210 PU3_3680_3890 PU1_3850_4190 PU3_5210_5050 PU1_5380_5050 PU4_5050_4310 PU4_4310_4210 PU1_4840_4760 PU1_4190_4300 PU4_4210_4170 PU2_4720_4750 PU1_4760_4450 PU1_4300_4440 PU2_4750_4450 PU3_4450_4440 PU4_4440_3970 PU4_3970_3890 PU4_3890_3990 PU4_3990_3780 PU4_3780_3930 PU5_3930_4170 PU5_4170_4020 PU6_4020_3870",0.30815757724514
