"","flow","rivseg","basin","river","DAsqmi","bascd","Mid","Last","Downstream","Upstream"
"39",0,"JB0_7052_0001","James River Basin","Diascund Creek",43.7358017,"JB","7052","0001","NA","NA"
"40",0,"JB0_7071_0000","James River Basin","James River",158.5910034,"JB","7071","0000","NA","NA"
"42",0,"WU0_3250_0001","Western Shore of Chesapeake Bay","Bynum Run",22.77429962,"WU","3250","0001","NA","NA"
"43",0,"JB0_7270_0000","James River Basin","James River",103.0449982,"JB","7270","0000","NA","NA"
"48",0,"PL0_4510_0001","Potomac River Basin","Annacostia River",52.1405983,"PL","4510","0001","NA","NA"
"49",1,"PL1_4540_0001","Potomac River Basin","North East Branch Annacostia River",75.03959656,"PL","4540","0001","NA","NA"
"50",2,"PL2_4810_0000","Potomac River Basin","Annacostia River",32.67860031,"PL","4810","0000","NA","NA"
"51",2,"PL2_5800_0000","Potomac River Basin","Zekiah Swamp Run",6.431709766,"PL","5800","0000","NA","NA"
"52",0,"PL0_5830_0001","Potomac River Basin","McIntosh Run",29.32830048,"PL","5830","0001","NA","NA"
"53",1,"PL1_5910_0001","Potomac River Basin","St Marys River",24.53510094,"PL","5910","0001","NA","NA"
"54",0,"RL0_6540_0001","Rappahannock River Basin","Piscataway Creek",27.59530067,"RL","6540","0001","NA","NA"
"55",0,"XL0_5320_0001","Patuxent River Basin","Hunting Creek",9.278499603,"XL","5320","0001","NA","NA"
"56",2,"JB2_7800_0001","James River Basin","Western Branch Dam",64.77929688,"JB","7800","0001","NA","NA"
"57",1,"JB1_8090_0001","James River Basin","Lake Mead Dam",64.04730225,"JB","8090","0001","NA","NA"
"66",1,"PL1_5230_0001","Potomac River Basin","Mattawoman Creek",55.52690125,"PL","5230","0001","NA","NA"
"67",0,"PL0_5290_0000","Potomac River Basin","Potomac River",7.771009922,"PL","5290","0000","NA","NA"
"69",7,"PL7_4984_0000","Potomac River Basin","Potomac River",0.141442999,"PL","4984","0000","NA","NA"
"70",7,"PL7_4983_0000","Potomac River Basin","Potomac River",0.663904011,"PL","4983","0000","NA","NA"
"71",7,"PL7_4982_0000","Potomac River Basin","Potomac River",0.923502028,"PL","4982","0000","NA","NA"
"72",7,"PL7_4963_0000","Potomac River Basin","Potomac River",0.396337003,"PL","4963","0000","NA","NA"
"73",7,"PL7_4942_0000","Potomac River Basin","Potomac River",0.259433001,"PL","4942","0000","NA","NA"
"74",7,"PL7_4965_0000","Potomac River Basin","Potomac River",1.235910058,"PL","4965","0000","NA","NA"
"88",7,"PL7_4910_0000","Potomac River Basin","Potomac River",0.546141028,"PL","4910","0000","NA","NA"
"89",7,"PL7_4940_0000","Potomac River Basin","Potomac River",1.799769998,"PL","4940","0000","NA","NA"
"90",2,"PL2_4945_0000","Potomac River Basin","Bull Run",20.00419998,"PL","4945","0000","NA","NA"
"91",7,"PL7_4960_0000","Potomac River Basin","Potomac River",2.266380072,"PL","4960","0000","NA","NA"
"93",7,"PL7_4980_0000","Potomac River Basin","Potomac River",10.93060017,"PL","4980","0000","NA","NA"
"94",0,"PL0_5000_0001","Potomac River Basin","Holmes Run",34.79949951,"PL","5000","0001","NA","NA"
"96",1,"PL1_5060_0000","Potomac River Basin","Piscataway Creek",23.33239937,"PL","5060","0000","NA","NA"
"97",0,"PL0_5070_0001","Potomac River Basin","Piscataway Creek",38.99319839,"PL","5070","0001","NA","NA"
"98",0,"PL0_5090_0000","Potomac River Basin","Holmes Run",9.763429642,"PL","5090","0000","NA","NA"
"99",0,"PL0_5131_0000","Potomac River Basin","Accotink Creek",40.23220062,"PL","5131","0000","NA","NA"
"101",0,"PL0_5510_0001","Potomac River Basin","Gilbert Swamp Run",43.36470032,"PL","5510","0001","NA","NA"
"104",0,"PL0_5580_0000","Potomac River Basin","Nanjemoy Creek",22.28240013,"PL","5580","0000","NA","NA"
"105",0,"PL0_5720_0001","Potomac River Basin","Nanajemoy Creek",15.11170006,"PL","5720","0001","NA","NA"
"107",0,"PL0_5750_0001","Potomac River Basin","St Clement Creek",18.55430031,"PL","5750","0001","NA","NA"
"108",0,"PL0_6140_0000","Potomac River Basin","Great Wicomico River",56.4632988,"PL","6140","0000","NA","NA"
"109",0,"PL0_6270_0000","Potomac River Basin","Great Wicomico River",52.8083992,"PL","6270","0000","NA","NA"
"153",5,"RL5_6070_0000","Rappahannock River Basin","Rappahannock River",334.5299988,"RL","6070","0000","NA","NA"
"154",1,"RL1_6180_0001","Rappahannock River Basin","Cat Point Creek",44.58789825,"RL","6180","0001","NA","NA"
"155",5,"RL5_6320_0000","Rappahannock River Basin","Piscataway Creek",27.08589935,"RL","6320","0000","NA","NA"
"156",1,"RL1_6322_0000","Rappahannock River Basin","Cat Point Creek",29.13820076,"RL","6322","0000","NA","NA"
"162",0,"WM0_3650_0001","Western Shore of Chesapeake Bay","Jones Falls",58.23730087,"WM","3650","0001","NA","NA"
"164",0,"WM0_3740_0001","Western Shore of Chesapeake Bay","Herring Run",29.99710083,"WM","3740","0001","NA","NA"
"169",1,"WU1_3482_0001","Western Shore of Chesapeake Bay","Western Run",58.31499863,"WU","3482","0001","NA","NA"
"170",0,"WU0_3670_0001","Western Shore of Chesapeake Bay","Whitemarsh Run",16.00399971,"WU","3670","0001","NA","NA"
"171",1,"XL1_4690_0001","Patuxent River Basin","Patuxent River Western Branch",93.0326004,"XL","4690","0001","NA","NA"
"172",1,"XL1_4691_0000","Patuxent River Basin","Patuxent River Western Branch",18.54910088,"XL","4691","0000","NA","NA"
"173",3,"XL3_4710_0000","Patuxent River Basin","Patuxent River",30.53300095,"XL","4710","0000","NA","NA"
"174",3,"XL3_4950_0000","Patuxent River Basin","Patuxent River",56.35490036,"XL","4950","0000","NA","NA"
"175",0,"XL0_5350_0000","Patuxent River Basin","Hunting Creek",17.85320091,"XL","5350","0000","NA","NA"
"179",2,"YL2_6580_0001","York River Basin","Piankatank River",140.0650024,"YL","6580","0001","NA","NA"
"180",0,"YL0_7010_0000","York River Basin","Owens Creek",61.50230026,"YL","7010","0000","NA","NA"
"183",0,"YM0_6621_0000","York River Basin","Mattaponi River",5.350959778,"YM","6621","0000","NA","NA"
"187",5,"YP5_6780_0000","York River Basin","Pamunkey River",161.3220062,"YP","6780","0000","NA","NA"
"189",2,"EL2_4634_0000","Eastern Shore of Chesapeake Bay","Nanticoke River",17.02619934,"EL","4634","0000","NA","NA"
"190",3,"EL3_5974_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",26.86000061,"EL","5974","0000","NA","NA"
"191",3,"EL3_5971_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",26.19549942,"EL","5971","0000","NA","NA"
"192",7,"PL7_4981_0000","Potomac River Basin","Potomac River",29.65209961,"PL","4981","0000","NA","NA"
"193",7,"PL7_4962_0000","Potomac River Basin","Potomac River",18.29220009,"PL","4962","0000","NA","NA"
"194",7,"PL7_4941_0000","Potomac River Basin","Potomac River",5.378280163,"PL","4941","0000","NA","NA"
"195",7,"PL7_4911_0000","Potomac River Basin","Potomac River",17.17650032,"PL","4911","0000","NA","NA"
"196",0,"JB0_7271_0000","James River Basin","James River",10.83100033,"JB","7271","0000","NA","NA"
"197",0,"YM0_6623_0000","York River Basin","Mattaponi River",27.82229996,"YM","6623","0000","NA","NA"
"198",5,"RL5_6072_0000","Rappahannock River Basin","Rappahannock River",8.670559883,"RL","6072","0000","NA","NA"
"199",5,"RL5_6071_0000","Rappahannock River Basin","Rappahannock River",86.24289703,"RL","6071","0000","NA","NA"
"200",0,"PL0_6271_0000","Potomac River Basin","Great Wicomico River",15.59160042,"PL","6271","0000","NA","NA"
"201",0,"PL0_6272_0000","Potomac River Basin","Great Wicomico River",3.727780104,"PL","6272","0000","NA","NA"
"202",0,"PL0_6141_0000","Potomac River Basin","Great Wicomico River",3.396749973,"PL","6141","0000","NA","NA"
"203",7,"PL7_4964_0000","Potomac River Basin","Potomac River",0.747201025,"PL","4964","0000","NA","NA"
"204",2,"PL2_4811_0000","Potomac River Basin","Annacostia River",3.451839924,"PL","4811","0000","NA","NA"
